Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
569;21100886542;"Journal of Management Analytics";journal;"23270039, 23270012";"Taylor and Francis Ltd.";No;No;0,649;Q2;41;37;80;2559;410;80;5,65;69,16;30,85;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2026";"Business, Management and Accounting (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
570;21100925710;"Carpathian Mathematical Publications";journal;"20759827, 23130210";"Precarpathian National University";Yes;Yes;0,648;Q2;17;55;153;1346;249;153;1,67;24,47;30,70;0;Ukraine;Eastern Europe;"Precarpathian National University";"2019-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
571;21101080469;"Partial Differential Equations and Applications";journal;"26622963, 26622971";"Springer International Publishing AG";No;No;0,648;Q2;12;55;167;1792;193;163;1,11;32,58;20,00;0;Switzerland;Western Europe;"Springer International Publishing AG";"2020-2026";"Analysis (Q2); Applied Mathematics (Q2); Computational Mathematics (Q2); Numerical Analysis (Q2)";"Mathematics"
572;29115;"Physica A: Statistical Mechanics and its Applications";journal;"03784371";"Elsevier B.V.";No;No;0,647;Q2;202;697;2466;34045;8811;2434;3,59;48,85;30,68;0;Netherlands;Western Europe;"Elsevier B.V.";"1975-2026";"Condensed Matter Physics (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
573;21100397403;"EPJ Data Science";journal;"21931127";"Springer Science + Business Media";Yes;No;0,646;Q2;54;86;194;4827;686;188;3,29;56,13;28,57;1;United States;Northern America;"Springer Science + Business Media";"2012-2026";"Computational Mathematics (Q2); Computer Science Applications (Q2); Modeling and Simulation (Q2)";"Computer Science; Mathematics"
574;25957;"ESAIM - Probability and Statistics";journal;"12928100, 12623318";"EDP Sciences";No;No;0,646;Q2;33;15;60;437;64;60;0,95;29,13;36,36;0;France;Western Europe;"EDP Sciences";"1997-2026";"Statistics and Probability (Q2)";"Mathematics"
575;29581;"Journal of Computational Biology";journal;"15578666, 10665277";"Mary Ann Liebert Inc.";No;No;0,646;Q2;108;87;280;928;464;275;1,30;10,67;30,00;0;United States;Northern America;"Mary Ann Liebert Inc.";"1994-2026";"Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Modeling and Simulation (Q2); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
576;29716;"Reviews in Mathematical Physics";journal;"17936659, 0129055X";"World Scientific";No;No;0,646;Q2;60;71;149;3217;210;148;1,49;45,31;12,86;0;Singapore;Asiatic Region;"World Scientific";"1994, 1996-2026";"Mathematical Physics (Q2); Statistical and Nonlinear Physics (Q2)";"Mathematics; Physics and Astronomy"
577;28893;"Canadian Journal of Statistics";journal;"03195724, 1708945X";"Wiley-Blackwell";No;No;0,645;Q2;60;53;176;2111;224;171;1,28;39,83;30,43;1;United States;Northern America;"Wiley-Blackwell";"1973-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
578;21100207001;"Discrete and Continuous Dynamical Systems - Series S";journal;"19371632, 19371179";"American Institute of Mathematical Sciences";Yes;No;0,645;Q2;45;226;570;7137;774;536;1,34;31,58;34,57;0;United States;Northern America;"American Institute of Mathematical Sciences";"2008-2026";"Analysis (Q2); Applied Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2)";"Mathematics"
579;28503;"Journal of Symbolic Computation";journal;"07477171, 1095855X";"Academic Press";No;No;0,643;Q1;68;82;210;2505;196;205;0,97;30,55;22,41;0;United States;Northern America;"Academic Press";"1985-2026";"Algebra and Number Theory (Q1); Computational Mathematics (Q2)";"Mathematics"
580;21101020135;"Systems";journal;"20798954";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,643;Q2;52;1127;1425;72561;6806;1417;5,03;64,38;38,43;1;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2026";"Computer Networks and Communications (Q2); Control and Systems Engineering (Q2); Information Systems and Management (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
581;21101202000;"Mesopotamian Journal of CyberSecurity";journal;"29586542";"Mesopotamian Academic Press";No;No;0,642;Q2;18;68;57;3326;413;55;7,61;48,91;29,90;0;Iraq;Middle East;"Mesopotamian Academic Press";"2021-2025";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
582;21100253295;"Proceedings of the Workshop on Algorithm Engineering and Experiments";conference and proceedings;"21640300";"Society for Industrial and Applied Mathematics Publications";No;No;0,642;-;26;19;56;674;69;51;1,08;35,47;16,92;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2012-2025";"Applied Mathematics; Engineering (miscellaneous)";"Engineering; Mathematics"
583;18197;"Integrated Computer-Aided Engineering";journal;"10692509, 18758835";"SAGE Publications Ltd";No;No;0,640;Q2;51;1;80;51;335;77;4,65;51,00;0,00;0;Netherlands;Western Europe;"SAGE Publications Ltd";"1993-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
584;21564;"Environmetrics";journal;"1099095X, 11804009";"John Wiley and Sons Ltd";No;No;0,639;Q2;73;77;148;3525;300;140;1,61;45,78;36,12;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2026";"Ecological Modeling (Q2); Statistics and Probability (Q2)";"Environmental Science; Mathematics"
585;21101065510;"Data-Centric Engineering";journal;"26326736";"Cambridge University Press";Yes;No;0,638;Q2;19;54;106;3303;401;106;3,47;61,17;18,52;0;United Kingdom;Western Europe;"Cambridge University Press";"2020-2026";"Applied Mathematics (Q2); Computer Science Applications (Q2); Engineering (miscellaneous) (Q2); Statistics and Probability (Q2)";"Computer Science; Engineering; Mathematics"
586;19268;"International Journal of High Performance Computing Applications";journal;"10943420, 17412846";"SAGE Publications Inc.";No;No;0,638;Q2;71;62;115;3039;329;108;3,24;49,02;19,03;0;United States;Northern America;"SAGE Publications Inc.";"1987-2026";"Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
587;21100825344;"Computational Particle Mechanics";journal;"21964386, 21964378";"Elsevier Ltd";No;No;0,636;Q2;46;319;381;14675;1453;379;3,68;46,00;25,14;0;Switzerland;Western Europe;"Elsevier Ltd";"2014-2025";"Computational Mechanics (Q1); Civil and Structural Engineering (Q2); Computational Mathematics (Q2); Fluid Flow and Transfer Processes (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2)";"Chemical Engineering; Engineering; Mathematics"
588;28049;"Applied Categorical Structures";journal;"09272852, 15729095";"Springer Netherlands";No;No;0,633;Q1;34;41;130;1098;78;129;0,63;26,78;17,14;0;Netherlands;Western Europe;"Springer Netherlands";"1993-2026";"Algebra and Number Theory (Q1); Computer Science (miscellaneous) (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
589;4400151750;"Foundations and Trends in Theoretical Computer Science";journal;"15513068, 1551305X";"Now Publishers Inc";No;No;0,633;Q2;31;1;5;154;12;5;4,00;154,00;33,33;0;United States;Northern America;"Now Publishers Inc";"2005-2007, 2009-2017, 2019-2020, 2022, 2024-2025";"Theoretical Computer Science (Q2)";"Mathematics"
590;25809;"Positivity";journal;"13851292, 15729281";"Springer International Publishing";No;No;0,632;Q2;37;61;225;1419;228;225;1,09;23,26;25,42;0;Switzerland;Western Europe;"Springer International Publishing";"1997-2026";"Analysis (Q2); Mathematics (miscellaneous) (Q2); Theoretical Computer Science (Q2)";"Mathematics"
591;23974;"Journal of Symbolic Logic";journal;"19435886, 00224812";"Cambridge University Press";No;No;0,630;Q1;51;161;244;3967;172;243;0,70;24,64;15,79;0;United Kingdom;Western Europe;"Cambridge University Press";"1938, 1958, 1987, 1996-2026";"Logic (Q1); Philosophy (Q1)";"Arts and Humanities; Mathematics"
592;23244;"International Journal of Mathematics";journal;"17936519, 0129167X";"World Scientific Publishing Co. Pte Ltd";No;No;0,630;Q2;49;97;294;2532;193;293;0,55;26,10;27,17;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
593;5700165174;"Journal of Fixed Point Theory and Applications";journal;"16617738, 16617746";"Springer International Publishing";No;No;0,630;Q2;46;104;224;3204;242;223;1,03;30,81;27,42;0;Switzerland;Western Europe;"Springer International Publishing";"2007-2026";"Applied Mathematics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2)";"Mathematics"
594;24966;"Evolutionary Computation";journal;"15309304, 10636560";"MIT Press";No;No;0,629;Q2;96;19;55;439;203;54;3,77;23,11;20,00;0;United States;Northern America;"MIT Press";"1996-2025";"Computational Mathematics (Q2)";"Mathematics"
595;145213;"Extremes";journal;"13861999, 1572915X";"Springer";No;No;0,629;Q2;40;28;69;1129;143;67;2,54;40,32;25,35;0;United States;Northern America;"Springer";"2001, 2004-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Engineering; Mathematics"
596;21101053588;"SMAI Journal of Computational Mathematics";journal;"24268399";"SMAI French Society for Applied and Industrial Mathematics";Yes;Yes;0,628;Q2;17;20;38;842;46;38;0,96;42,10;15,79;0;France;Western Europe;"SMAI French Society for Applied and Industrial Mathematics";"2015-2025";"Computational Mathematics (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2); Statistics and Probability (Q2)";"Mathematics"
597;21101029476;"Communications in Combinatorics and Optimization";journal;"25382128, 25382136";"Azarbaijan Shahid Madani University";Yes;Yes;0,627;Q2;15;61;140;1284;192;136;1,40;21,05;26,89;0;Iran;Middle East;"Azarbaijan Shahid Madani University";"2016-2026";"Control and Optimization (Q2); Discrete Mathematics and Combinatorics (Q2)";"Mathematics"
598;12370;"Journal of Computer and System Sciences";journal;"10902724, 00220000";"Academic Press Inc.";No;No;0,626;Q2;110;44;154;1658;218;152;1,48;37,68;18,44;0;United States;Northern America;"Academic Press Inc.";"1967-2026";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
599;21101196407;"Journal of Umm Al-Qura University for Applied Sciences";journal;"16588185";"Springer Nature";Yes;Yes;0,626;Q2;21;144;143;9736;718;142;5,16;67,61;33,33;2;United Arab Emirates;Middle East;"Springer Nature";"2022-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Chemistry (miscellaneous) (Q2); Geology (Q2); Mathematics (miscellaneous) (Q2); Microbiology (Q3)";"Agricultural and Biological Sciences; Chemistry; Earth and Planetary Sciences; Immunology and Microbiology; Mathematics"
600;21100827839;"Unmanned Systems";journal;"23013850, 23013869";"World Scientific";No;No;0,626;Q2;35;211;131;8493;488;126;3,60;40,25;23,65;0;Singapore;Asiatic Region;"World Scientific";"2013-2026";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Control and Optimization (Q2); Control and Systems Engineering (Q2)";"Engineering; Mathematics"
601;28538;"Optimization Methods and Software";journal;"10294937, 10556788";"Taylor and Francis Ltd.";No;No;0,625;Q2;74;74;209;2848;368;206;1,59;38,49;21,30;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Applied Mathematics (Q2); Control and Optimization (Q2); Software (Q2)";"Computer Science; Mathematics"
602;145268;"Theory and Applications of Categories";journal;"1201561X";"Mount Allison University";Yes;No;0,625;Q2;41;53;163;1428;89;162;0,52;26,94;16,67;0;Canada;Northern America;"Mount Allison University";"1996-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
603;21101192308;"De Gruyter Studies in Mathematics";book series;"01790986";"Walter de Gruyter GmbH";No;No;0,623;Q1;7;16;17;120;27;17;1,80;7,50;0,00;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2019-2025";"Algebra and Number Theory (Q1); Analysis (Q2); Applied Mathematics (Q2); Mathematical Physics (Q2)";"Mathematics"
604;24095;"Comptes Rendus Mathematique";journal;"17783569, 1631073X";"Academie des sciences";Yes;Yes;0,622;Q2;77;117;416;2408;314;414;0,71;20,58;16,59;0;France;Western Europe;"Academie des sciences";"2002-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
605;145621;"Teaching Mathematics and its Applications";journal;"14716976, 02683679";"Oxford University Press";No;No;0,622;Q2;27;21;69;753;105;67;1,32;35,86;40,00;0;United Kingdom;Western Europe;"Oxford University Press";"1982-2025";"Education (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics; Social Sciences"
606;14882;"Test";journal;"11330686, 18638260";"Springer New York";No;No;0,622;Q2;54;51;172;1902;222;151;1,24;37,29;22,88;0;United States;Northern America;"Springer New York";"1988, 1992-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
607;21101091183;"Systems and Soft Computing";journal;"27729419";"Academic Press";Yes;No;0,620;Q2;21;245;140;8150;747;140;5,49;33,27;35,09;0;United States;Northern America;"Academic Press";"2022-2026";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
608;21100231200;"Alea";journal;"19800436";"Instituto Nacional de Matematica Pura e Aplicada";Yes;No;0,619;Q2;21;53;205;1387;144;205;0,60;26,17;19,78;0;Brazil;Latin America;"Instituto Nacional de Matematica Pura e Aplicada";"2011-2026";"Statistics and Probability (Q2)";"Mathematics"
609;21101081515;"Researches in Mathematics";journal;"26645009, 26644991";"Oles Honchar Dnipro National University";Yes;No;0,617;Q1;6;28;57;624;61;57;1,20;22,29;29,55;0;Ukraine;Eastern Europe;"Oles Honchar Dnipro National University";"2019-2025";"Algebra and Number Theory (Q1); Analysis (Q2); Mathematical Physics (Q2); Statistics and Probability (Q2)";"Mathematics"
610;20642;"Empirical Economics";journal;"14358921, 03777332";"Physica-Verlag";No;No;0,617;Q2;78;208;590;11517;1577;587;2,28;55,37;27,86;17;Germany;Western Europe;"Physica-Verlag";"1976-2026";"Social Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2); Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
611;21100827466;"EURO Journal on Computational Optimization";journal;"21924406, 21924414";"Elsevier B.V.";Yes;No;0,616;Q2;25;19;72;914;148;64;1,32;48,11;21,43;0;Germany;Western Europe;"Elsevier B.V.";"2013-2026";"Computational Mathematics (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2)";"Decision Sciences; Mathematics"
612;23148;"IMA Journal of Management Mathematics";journal;"1471678X, 14716798";"Oxford University Press";No;No;0,616;Q2;43;45;89;2014;337;87;3,92;44,76;31,19;0;United Kingdom;Western Europe;"Oxford University Press";"1986, 1988-1989, 1991-1993, 1995-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
613;21101194103;"Computational and Systems Oncology";journal;"26899655";"John Wiley and Sons Inc";Yes;No;0,613;Q2;10;4;14;173;52;11;7,00;43,25;50,00;0;United States;Northern America;"John Wiley and Sons Inc";"2021-2026";"Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Oncology (Q3)";"Computer Science; Mathematics; Medicine"
614;24594;"Mathematical Methods in the Applied Sciences";journal;"10991476, 01704214";"John Wiley and Sons Ltd";No;No;0,612;Q2;93;1204;2551;43238;5558;2524;2,27;35,91;30,14;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1979-2026";"Engineering (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2)";"Engineering; Mathematics"
615;24712;"Annals of Combinatorics";journal;"02180006, 02193094";"Springer International Publishing";No;No;0,611;Q2;31;96;141;2093;142;141;0,92;21,80;27,60;0;Switzerland;Western Europe;"Springer International Publishing";"2002, 2005-2026";"Discrete Mathematics and Combinatorics (Q2)";"Mathematics"
616;21100256977;"Mathematical Control and Related Fields";journal;"21568499, 21568472";"American Institute of Mathematical Sciences";No;No;0,611;Q2;27;65;172;2082;233;170;1,32;32,03;25,49;0;United States;Northern America;"American Institute of Mathematical Sciences";"2011-2026";"Applied Mathematics (Q2); Control and Optimization (Q2)";"Mathematics"
617;4700152853;"Asterisque";book series;"24925926, 03031179";"Societe Mathematique de France";No;No;0,610;Q2;55;5;30;283;13;27;0,37;56,60;0,00;0;France;Western Europe;"Societe Mathematique de France";"1996-2010, 2013-2025";"Mathematics (miscellaneous) (Q2)";"Mathematics"
618;21100201020;"Communications in Number Theory and Physics";journal;"19314523, 19314531";"International Press, Inc.";No;No;0,610;Q2;38;17;53;870;73;53;1,29;51,18;18,18;0;United States;Northern America;"International Press, Inc.";"2007-2025";"Algebra and Number Theory (Q2); Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Mathematics; Physics and Astronomy"
619;21101383172;"Digital Experiences in Mathematics Education";journal;"21993246, 21993254";"Springer International Publishing";No;No;0,607;Q2;6;24;23;957;45;23;1,96;39,88;47,17;0;Switzerland;Western Europe;"Springer International Publishing";"2024-2026";"Applied Mathematics (Q2); Computational Mathematics (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics"
620;24620;"Algebras and Representation Theory";journal;"15729079, 1386923X";"Springer Netherlands";No;No;0,606;Q2;36;63;277;1507;154;277;0,52;23,92;24,27;0;Netherlands;Western Europe;"Springer Netherlands";"1998-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
621;28701;"Mathematical Physics Analysis and Geometry";journal;"13850172, 15729656";"Springer Netherlands";No;No;0,604;Q2;30;43;83;1726;106;83;1,25;40,14;23,86;0;Netherlands;Western Europe;"Springer Netherlands";"1998-2026";"Geometry and Topology (Q2); Mathematical Physics (Q2)";"Mathematics"
622;16294;"Biomechanics and Modeling in Mechanobiology";journal;"16177959, 16177940";"Springer Science and Business Media Deutschland GmbH";No;No;0,602;Q2;94;128;364;8141;1196;362;3,12;63,60;30,11;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2002-2026";"Biomedical Engineering (Q2); Biotechnology (Q2); Mechanical Engineering (Q2); Modeling and Simulation (Q2)";"Biochemistry, Genetics and Molecular Biology; Engineering; Mathematics"
623;21100446931;"European Journal of Mathematics";journal;"2199675X, 21996768";"Springer International Publishing AG";No;No;0,600;Q2;16;85;301;2237;197;299;0,68;26,32;13,99;0;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
624;28472;"Fractals";journal;"17936543, 0218348X";"World Scientific";No;No;0,600;Q2;78;346;1026;14071;3036;1014;3,22;40,67;30,14;0;Singapore;Asiatic Region;"World Scientific";"1993-2026";"Multidisciplinary (Q1); Applied Mathematics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2)";"Mathematics; Multidisciplinary"
625;23910;"Journal of Group Theory";journal;"14354446, 14335883";"Walter de Gruyter GmbH";No;No;0,600;Q2;33;66;157;1385;109;157;0,61;20,98;24,39;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1998-2026";"Algebra and Number Theory (Q2)";"Mathematics"
626;15583;"New Generation Computing";journal;"02883635, 18827055";"Springer Japan";No;No;0,600;Q2;38;19;138;860;439;128;2,95;45,26;31,71;0;Japan;Asiatic Region;"Springer Japan";"1983-2026";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
627;23671;"Speech Communication";journal;"01676393";"Elsevier B.V.";No;No;0,600;Q2;123;108;241;7341;1048;239;3,90;67,97;40,21;0;Netherlands;Western Europe;"Elsevier B.V.";"1982-2026";"Communication (Q1); Linguistics and Language (Q1); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Mathematics; Social Sciences"
628;23176;"Indagationes Mathematicae";journal;"00193577";"Elsevier B.V.";No;No;0,599;Q2;38;124;205;3622;169;201;0,80;29,21;18,18;0;Netherlands;Western Europe;"Elsevier B.V.";"1969, 1972-2009, 2011-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
629;26395;"Russian Mathematical Surveys";journal;"00360279, 14684829";"Steklov Mathematical Institute of Russian Academy of Sciences";No;No;0,599;Q2;49;56;136;1374;122;98;0,90;24,54;11,86;0;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1970-2025";"Mathematics (miscellaneous) (Q2)";"Mathematics"
630;21100898991;"Modern Stochastics: Theory and Applications";journal;"23516046, 23516054";"VTeX";Yes;Yes;0,598;Q2;9;25;66;634;66;66;1,02;25,36;20,83;0;Lithuania;Eastern Europe;"VTeX";"2018-2025";"Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
631;26468;"Semigroup Forum";journal;"00371912, 14322137";"Springer New York";No;No;0,598;Q2;42;85;245;1745;172;242;0,64;20,53;22,07;0;United States;Northern America;"Springer New York";"1970-2026";"Algebra and Number Theory (Q2)";"Mathematics"
632;19700175588;"Carpathian Journal of Mathematics";journal;"15842851, 18434401";"North University of Baia Mare";No;No;0,597;Q2;34;66;156;2056;212;156;1,38;31,15;26,00;0;Romania;Eastern Europe;"North University of Baia Mare";"2003-2025";"Mathematics (miscellaneous) (Q2)";"Mathematics"
633;21101092530;"IET Quantum Communication";journal;"26328925";"John Wiley and Sons Inc";Yes;No;0,597;Q2;18;30;90;1469;360;86;4,49;48,97;29,11;0;United States;Northern America;"John Wiley and Sons Inc";"2020-2026";"Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
634;21101039441;"Cryptography";journal;"2410387X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,595;Q2;29;80;183;3576;717;182;4,03;44,70;27,34;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Software (Q2)";"Computer Science; Mathematics"
635;5700165208;"Journal of Physics A: Mathematical and Theoretical";journal;"17518113, 17518121";"IOP Publishing Ltd.";No;No;0,595;Q2;178;460;1732;23345;3484;1721;1,88;50,75;15,79;0;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2007-2025";"Mathematical Physics (Q2); Modeling and Simulation (Q2); Physics and Astronomy (miscellaneous) (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
636;26323;"Ramanujan Journal";journal;"15729303, 13824090";"Springer Netherlands";Yes;No;0,595;Q2;45;304;575;6448;493;574;0,86;21,21;22,25;0;Netherlands;Western Europe;"Springer Netherlands";"1997-2026";"Algebra and Number Theory (Q2)";"Mathematics"
637;21101121584;"Review of Economics and Political Science";journal;"26313561, 23569980";"Emerald Publishing";Yes;No;0,595;Q2;19;40;80;2221;324;80;3,61;55,53;54,55;0;United Kingdom;Western Europe;"Emerald Publishing";"2018-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Mathematics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
638;87424;"Proceedings of the IEEE Conference on Decision and Control";conference and proceedings;"25762370, 07431546";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,595;-;148;1015;3210;24552;3686;3201;1,01;24,19;19,70;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1971-1972, 1975-2004, 2006-2016, 2018-2024";"Control and Optimization; Control and Systems Engineering; Modeling and Simulation";"Engineering; Mathematics"
639;21100838145;"Machines";journal;"20751702";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,591;Q2;55;1152;3271;50534;11889;3241;3,74;43,87;24,50;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2026";"Computer Science (miscellaneous) (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2)";"Computer Science; Engineering; Mathematics"
640;25800;"Communications in Algebra";journal;"00927872, 15324125";"Taylor and Francis Ltd.";No;No;0,589;Q2;75;431;1155;8582;927;1154;0,76;19,91;27,41;0;United States;Northern America;"Taylor and Francis Ltd.";"1974-2026";"Algebra and Number Theory (Q2)";"Mathematics"
641;13878;"European Journal of Mechanics, B/Fluids";journal;"09977546";"Elsevier B.V.";No;No;0,589;Q2;88;153;359;6858;1033;355;2,63;44,82;21,14;0;Netherlands;Western Europe;"Elsevier B.V.";"1990-1992, 1995-2026";"Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Mathematics; Physics and Astronomy"
642;28476;"Graphs and Combinatorics";journal;"14355914, 09110119";"Springer Japan";No;No;0,589;Q2;47;131;450;2341;339;450;0,72;17,87;33,23;0;Japan;Asiatic Region;"Springer Japan";"1985-2026";"Discrete Mathematics and Combinatorics (Q2); Theoretical Computer Science (Q2)";"Mathematics"
643;25058;"Journal of the Mathematical Society of Japan";journal;"18811167, 00255645";"Mathematical Society of Japan";No;No;0,589;Q2;42;43;130;1081;96;130;0,64;25,14;16,88;0;Japan;Asiatic Region;"Mathematical Society of Japan";"1948-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
644;21092;"Mechanics Based Design of Structures and Machines";journal;"15397742, 15397734";"Taylor and Francis Ltd.";No;No;0,589;Q2;59;590;995;29690;4070;995;4,02;50,32;20,05;0;United States;Northern America;"Taylor and Francis Ltd.";"2003-2026";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Civil and Structural Engineering (Q2); Condensed Matter Physics (Q2); Mathematics (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2); Ocean Engineering (Q2)";"Engineering; Mathematics; Physics and Astronomy"
645;5800228220;"Optimization Letters";journal;"18624472, 18624480";"Springer Verlag";No;No;0,589;Q2;60;128;390;3510;649;387;1,58;27,42;24,07;0;Germany;Western Europe;"Springer Verlag";"2007-2026";"Business, Management and Accounting (miscellaneous) (Q2); Control and Optimization (Q2)";"Business, Management and Accounting; Mathematics"
646;21100829708;"Annales de l'Institut Henri Poincare (D) Combinatorics, Physics and their Interactions";journal;"23085835, 23085827";"European Mathematical Society Publishing House";Yes;Yes;0,588;Q2;17;20;50;667;75;50;1,70;33,35;15,00;0;Germany;Western Europe;"European Mathematical Society Publishing House";"2014-2025";"Algebra and Number Theory (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
