college,UNITID,ipeds_name,cs_cip_codes,2021,2022,2023,2024
Saint Michael's College,231059,Saint Michael's College,11.0701,4,7,8,5
Saint Vincent College,215798,Saint Vincent College,11.0701;11.1003,9,9,16,19
Sarah Lawrence College,195304,Sarah Lawrence College,,0,0,0,0
Skidmore College,195526,Skidmore College,11.0101,15,19,25,26
Smith College,167835,Smith College,11.0701,34,41,41,41
Southern Virginia University,233611,Southern Virginia University,11.0101,6,4,9,5
Southwestern University,228343,Southwestern University,11.0101,15,14,9,14
Spelman College,141060,Spelman College,11.0101,17,19,16,13
St. Lawrence University,195216,St Lawrence University,11.0101,12,12,21,18
St. Mary's College of Maryland,163912,St. Mary's College of Maryland,11.0101,17,18,20,20
St. Norbert College,239716,Saint Norbert College,11.0701,13,12,8,5
St. Olaf College,174844,St Olaf College,11.0701,25,24,33,42
Stonehill College,167996,Stonehill College,11.0701,14,15,9,16
Susquehanna University,216278,Susquehanna University,11.0101,9,11,13,12
Swarthmore College,216287,Swarthmore College,11.0101,59,54,73,87
Tougaloo College,176406,Tougaloo College,11.0701,6,3,3,0
Transylvania University,157818,Transylvania University,11.0101,3,2,4,10
Trinity College,130590,Trinity College,11.0101;11.0199;11.9999,27,20,12,22
Trinity University,229267,Trinity University,11.0101,34,33,40,33
Union College (NY),196866,Union College,11.0101,19,20,18,27
University of Mary Washington,232681,University of Mary Washington,11.0101,51,63,55,69
University of Minnesota Morris,174251,University of Minnesota-Morris,11.0701,17,20,20,11
University of North Carolina Asheville,199111,University of North Carolina Asheville,11.0701,37,28,26,24
University of Puget Sound,236328,University of Puget Sound,11.0701,18,26,19,15
University of Richmond,233374,University of Richmond,11.0101;11.1003,38,24,25,41
The University of the South,221519,The University of the South,11.0701,1,6,3,7
University of Virginia--Wise,233897,University of Virginia's College at Wise,11.0701,11,6,8,8
Ursinus College,216524,Ursinus College,11.0701,17,12,19,16
Vassar College,197133,Vassar College,11.0101,25,41,31,42
