name,title,college,url
Jasmine Jones,Associate Professor,Berea College,https://www.berea.edu/academics/departments-programs/computer-science/faculty-staff/dr-jasmine-jones
Mario Nakazawa,Associate Professor,Berea College,https://www.berea.edu/academics/departments-programs/computer-science/faculty-staff/dr-mario-nakazawa-2
Deanna Wilborne,Assistant Professor,Berea College,https://www.berea.edu/academics/departments-programs/computer-science/faculty-staff/deanna-wilborne
Alex Mathew,Associate Professor,Bethany College (WV),https://www.bethanywv.edu/faculty/alex-mathew/
Fujiko Nito,Professor,Bethany College (WV),https://www.bethanywv.edu/faculty/fujiko-nito/
Perry Lund,Adjunct Assistant Professor,Bethany Lutheran College,https://blc.edu/about/bethany-profiles/faculty-profiles/perry-lund/
Sean K. Barker,Associate Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/sbarker/index.html
David Byrd,Assistant Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/d.byrd/index.html
Jeová Farias,Assistant Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/j.farias/index.html
Cibele Matos Freire,Assistant Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/cfreire/index.html
Sarah M. Harmon,Associate Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/sharmon/index.html
Stephen Houser,Adjunct Lecturer,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/houser/index.html
Bobak Kiani,Assistant Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/b.kiani/index.html
Jeffrey Knockel,Assistant Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/j.knockel/index.html
Christopher Martin,Visiting Lecturer,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/c.martin/index.html
Laura I. Toma,Professor,Bowdoin College,https://www.bowdoin.edu/profiles/faculty/ltoma/index.html
Verne E. Leininger,Associate Professor,Bridgewater College,https://www.bridgewater.edu/academics/faculty/dr-verne-e-leininger/
Eric McGregor,Associate Professor,Bridgewater College,https://www.bridgewater.edu/academics/faculty/dr-eric-mcgregor/
Fredrik Bryntesson,Professor,Bryn Athyn College,https://brynathyn.edu/faculty/fredrik-bryntesson.html
Stella Evans,Assistant Professor,Bryn Athyn College,https://brynathyn.edu/faculty/stella-evans.html
Thomas Frazier,Lecturer,Bryn Athyn College,https://brynathyn.edu/faculty/thomas-frazier.html
Ellen McKee,Adjunct Professor,Bryn Athyn College,https://brynathyn.edu/faculty/ellen-mckee.html
Ryan Pine,Assistant Professor,Bryn Athyn College,https://brynathyn.edu/faculty/ryan-pine.html
Elizabeth Hollister Rogers,Professor,Bryn Athyn College,https://brynathyn.edu/faculty/elizabeth-hollister-rogers.html
Neil Simonetti,Professor,Bryn Athyn College,https://brynathyn.edu/faculty/neil-simonetti.html
Elizabeth Dinella,Assistant Professor,Bryn Mawr College,
Ramesh Garimella,Visiting Professor,Bryn Mawr College,
Aline Normoyle,Assistant Professor,Bryn Mawr College,https://www.brynmawr.edu/inside/people/aline-normoyle
Adam Poliak,Assistant Professor,Bryn Mawr College,https://azpoliak.github.io/
Michael Wehar,Visiting Assistant Professor,Bryn Mawr College,
Dianna Xu,Professor,Bryn Mawr College,http://cs.brynmawr.edu/~dxu
Alan Marchiori,Associate Professor,Bucknell University,https://www.bucknell.edu/fac-staff/alan-marchiori
Lea Wittie,Associate Professor,Bucknell University,https://www.bucknell.edu/fac-staff/lea-wittie
Alexander Fuchsberger,Associate Teaching Professor,Bucknell University,https://www.bucknell.edu/fac-staff/alexander-fuchsberger
Samuel Gutekunst,Assistant Professor,Bucknell University,https://www.bucknell.edu/fac-staff/samuel-gutekunst
Jessen Havill,Professor,Bucknell University,https://www.bucknell.edu/fac-staff/jessen-havill
Brian King,Associate Professor,Bucknell University,https://www.bucknell.edu/fac-staff/brian-king
Rajesh Kumar,Assistant Professor,Bucknell University,https://www.bucknell.edu/fac-staff/rajesh-kumar
SingChun Lee,Assistant Professor,Bucknell University,https://www.bucknell.edu/fac-staff/singchun-lee
Darakhshan Mir,Associate Professor,Bucknell University,https://www.bucknell.edu/fac-staff/darakhshan-mir
Chris Mitsch,Visiting Assistant Professor,Bucknell University,https://www.bucknell.edu/fac-staff/chris-mitsch
Luiz Felipe Perrone,Professor,Bucknell University,https://www.bucknell.edu/fac-staff/luiz-felipe-perrone
Swetha Reddy Ravula,Visiting Assistant Professor,Bucknell University,https://www.bucknell.edu/fac-staff/swetha-reddy-ravula
Lily Romano,Instructor,Bucknell University,https://www.bucknell.edu/fac-staff/lily-romano
Anne Ross,Assistant Professor,Bucknell University,https://www.bucknell.edu/fac-staff/anne-ross
Todd Schmid,Assistant Professor,Bucknell University,https://www.bucknell.edu/fac-staff/todd-schmid
Joshua Stough,Associate Professor,Bucknell University,https://www.bucknell.edu/fac-staff/joshua-stough
Edward Talmage,Associate Professor,Bucknell University,https://www.bucknell.edu/fac-staff/edward-talmage
Amy Csizmar Dalal,Professor,Carleton College,https://www.carleton.edu/directory/adalal/
Eric Alexander,Associate Professor,Carleton College,https://www.carleton.edu/directory/ealexander/
Tanya Amert,Assistant Professor,Carleton College,https://www.carleton.edu/directory/tamert/
Chelsey Edge,Assistant Professor,Carleton College,https://www.carleton.edu/directory/cedge/
David Liben-Nowell,Associate Professor,Carleton College,https://www.carleton.edu/directory/dln/
Anna Meyer,Assistant Professor,Carleton College,https://www.carleton.edu/directory/annameyer/
David Musicant,Professor,Carleton College,https://www.carleton.edu/directory/dmusicant/
Sneha Narayan,Assistant Professor,Carleton College,https://www.carleton.edu/directory/snarayan/
Layla Oesper,Associate Professor,Carleton College,https://www.carleton.edu/directory/loesper/
Jeff Ondich,Professor,Carleton College,https://www.carleton.edu/directory/jondich/
Anna Rafferty,Professor,Carleton College,https://www.carleton.edu/directory/arafferty/
Jean Salac,Assistant Professor,Carleton College,https://www.carleton.edu/directory/salac/
Anya Vostinar,Assistant Professor,Carleton College,https://www.carleton.edu/directory/vostinar/
Robert Franks,Professor,Central College,
Stephen Fyfe,Professor,Central College,
Mark Johnson,Professor,Central College,
Thomas E. Allen,Associate Professor,Centre College,https://www.centre.edu/about/faculty-staff/thomas-e-allen
William Bailey,Assistant Professor,Centre College,https://www.centre.edu/about/faculty-staff/william-bailey
Michael K. Bradshaw,Professor,Centre College,https://www.centre.edu/about/faculty-staff/michael-k-bradshaw
Dave Toth,Professor,Centre College,https://www.centre.edu/about/faculty-staff/dave-toth
Abdelrahman Desoky,Associate Professor,Claflin University,https://www.claflin.edu/academics-research/faculty-research/meet-our-faculty/abdelrahman-desoky
Karina Liles,Assistant Professor,Claflin University,https://www.claflin.edu/academics-research/faculty-research/meet-our-faculty/dr.-karina-liles
Ms. Erika L. Rhett,Lecturer,Claflin University,https://www.claflin.edu/academics-research/faculty-research/meet-our-faculty/erika-rhett
Pawar Shrikant,Assistant Professor,Claflin University,https://www.claflin.edu/academics-research/faculty-research/meet-our-faculty/dr.-pawar-shrikant
Stephen Hughes,Associate Professor,Coe College,http://public.coe.edu/~shughes/
Namrata Saha,Visiting Assistant Professor,Coe College,
Michael Stobb,Associate Professor,Coe College,http://www.stobb.org
Terry Hostetler,Professor,Coe College,
Calvin Van Niewaal,Professor,Coe College,
Stephanie Taylor,Professor,Colby College,https://cs.colby.edu/srtaylor
Eric Aaron,Associate Professor,Colby College,https://cs.colby.edu/eaaron
Naser Al Madi,Assistant Professor,Colby College,https://cs.colby.edu/nsalmadi
Max Bender,Assistant Professor,Colby College,
Tahiya Chowdhury,Assistant Professor,Colby College,
Stacy Doore,Assistant Professor,Colby College,
Allen Harper,Assistant Professor,Colby College,
Ike Lage,Assistant Professor,Colby College,https://isaaclage.github.io/
Oliver Layton,Associate Professor,Colby College,https://sites.google.com/colby.edu/owlab
Ying Li,Associate Professor,Colby College,https://cs.colby.edu/yingli
Hannen Wolfe,Assistant Professor,Colby College,https://cs.colby.edu/hewolfe
Noah Apthorpe,Assistant Professor,Colgate College,https://www.colgate.edu/about/directory/napthorpe
Valerie Cucura,Senior Lab Instructor,Colgate College,https://www.colgate.edu/about/directory/vcucura
Forrest Davis,Assistant Professor,Colgate College,https://www.colgate.edu/about/directory/fdavis
Nicholas Diana,Assistant Professor,Colgate College,https://www.colgate.edu/about/directory/ndiana
Elodie Fourquet,Associate Professor,Colgate College,https://www.colgate.edu/about/directory/efourquet
Aaron Gember-Jacobson,Associate Professor,Colgate College,https://www.colgate.edu/about/directory/agemberjacobson
Georgiana Haldeman,Assistant Professor,Colgate College,https://www.colgate.edu/about/directory/ghaldeman
Matt Lyboult,Senior Lab Instructor,Colgate College,https://www.colgate.edu/about/directory/mlyboult
David Perkins,Visiting Assistant Professor,Colgate College,https://www.colgate.edu/about/directory/dperkins
Grusha Prasad,Assistant Professor,Colgate College,https://www.colgate.edu/about/directory/gprasad
