name,title,college,openalex_id,openalex_citedby,openalex_hindex,openalex_i10index
Aline Normoyle,Assistant Professor,Bryn Mawr College,A5034108921,458,11,11
Dianna Xu,Professor,Bryn Mawr College,A5113753479,307,11,12
Elizabeth Dinella,Assistant Professor,Bryn Mawr College,A5063180853,253,4,4
Michael Wehar,Visiting Assistant Professor,Bryn Mawr College,A5056314718,71,7,3
Ramesh Garimella,Visiting Professor,Bryn Mawr College,,,,
Alan Marchiori,Associate Professor,Bucknell University,A5053248936,623,10,13
Alexander Fuchsberger,Associate Teaching Professor,Bucknell University,A5040086047,21,3,0
Anne Ross,Assistant Professor,Bucknell University,A5066835164,1110,12,12
Brian King,Associate Professor,Bucknell University,A5062573510,419,9,9
Chris Mitsch,Visiting Assistant Professor,Bucknell University,,,,
Darakhshan Mir,Associate Professor,Bucknell University,A5068511918,456,9,9
Edward Talmage,Associate Professor,Bucknell University,A5043782618,53,4,2
Jessen Havill,Professor,Bucknell University,,,,
Joshua Stough,Associate Professor,Bucknell University,A5011342579,872,13,18
Lea Wittie,Associate Professor,Bucknell University,A5024183391,75,5,3
Lily Romano,Instructor,Bucknell University,,,,
Luiz Felipe Perrone,Professor,Bucknell University,A5074151199,704,15,17
Rajesh Kumar,Assistant Professor,Bucknell University,A5101522245,506,8,8
Samuel Gutekunst,Assistant Professor,Bucknell University,A5044065045,25,3,0
SingChun Lee,Assistant Professor,Bucknell University,A5025454355,581,12,17
Todd Schmid,Assistant Professor,Bucknell University,A5087089457,34,4,0
Amy Csizmar Dalal,Professor,Carleton College,A5056822686,106,7,4
Anna Meyer,Assistant Professor,Carleton College,,,,
Anna Rafferty,Professor,Carleton College,A5038687622,1832,20,37
Anya Vostinar,Assistant Professor,Carleton College,A5070798686,333,6,5
Chelsey Edge,Assistant Professor,Carleton College,,,,
David Liben-Nowell,Associate Professor,Carleton College,,,,
David Musicant,Professor,Carleton College,A5026793345,1632,18,21
Eric Alexander,Associate Professor,Carleton College,A5087042012,301,7,6
Jean Salac,Assistant Professor,Carleton College,A5027116733,362,11,13
Jeff Ondich,Professor,Carleton College,A5008039739,24,2,2
Josh Davis,Senior Lecturer,Carleton College,A5019068125,305,9,8
Layla Oesper,Associate Professor,Carleton College,A5082161675,17308,34,42
Sneha Narayan,Assistant Professor,Carleton College,A5043207926,118,6,3
Tanya Amert,Assistant Professor,Carleton College,A5090371978,445,9,9
Mark Johnson,Professor,Central College,A5034461489,26204,64,213
Robert Franks,Professor,Central College,,,,
Stephen Fyfe,Professor,Central College,A5090733659,23,2,1
Dave Toth,Professor,Centre College,,,,
Michael K. Bradshaw,Professor,Centre College,A5088785197,159,6,5
Thomas E. Allen,Associate Professor,Centre College,A5103442019,43,4,1
William Bailey,Assistant Professor,Centre College,,,,
Abdelrahman Desoky,Associate Professor,Claflin University,A5087327461,307,11,11
Karina Liles,Associate Professor,Claflin University,A5044095068,2597,6,5
Ms. Erika L. Rhett,Lecturer,Claflin University,,,,
Pawar Shrikant,Assistant Professor,Claflin University,,,,
Chiu-Yen Kao,Professor,Claremont McKenna College,A5045327320,5298,28,46
Michael Izbicki,Associate Professor,Claremont McKenna College,A5021467697,93,5,4
Raylen Witter,Assistant Professor,Claremont McKenna College,,,,
Sarah Cannon,Associate Professor,Claremont McKenna College,A5032733831,223,6,6
Calvin Van Niewaal,Professor,Coe College,,,,
Michael Stobb,Associate Professor,Coe College,,,,
Namrata Saha,Visiting Assistant Professor,Coe College,,,,
Stephen Hughes,Professor,Coe College,A5109908631,933,16,19
Terry Hostetler,Professor,Coe College,,,,
Allen Harper,Assistant Professor,Colby College,,,,
Eric Aaron,Associate Professor,Colby College,A5085664346,373,8,8
Hannen Wolfe,Assistant Professor,Colby College,A5055078057,39,4,1
Ike Lage,Assistant Professor,Colby College,A5051573028,485,9,8
Max Bender,Assistant Professor,Colby College,,,,
Naser Al Madi,Visiting Assistant Professor,Colby College,A5024656415,140,6,3
Oliver Layton,Associate Professor,Colby College,A5069341270,442,12,12
Stacy Doore,Assistant Professor,Colby College,A5082142554,284,9,8
Stephanie Taylor,Professor,Colby College,A5078189551,9142,38,78
Tahiya Chowdhury,Assistant Professor,Colby College,A5065468004,31,3,0
Ying Li,Associate Professor,Colby College,A5100414447,214,6,3
Aaron Gember-Jacobson,Associate Professor,Colgate University,A5002160728,2430,25,31
David Perkins,Visiting Assistant Professor,Colgate University,,,,
Elodie Fourquet,Associate Professor,Colgate University,A5065869457,27,2,1
Forrest Davis,Assistant Professor,Colgate University,A5056847924,41,3,1
Georgiana Haldeman,Assistant Professor,Colgate University,A5012273193,15,3,0
Grusha Prasad,Assistant Professor,Colgate University,A5012154069,222,8,7
Joel Sommers,Professor,Colgate University,A5077852213,3071,30,42
Katelyn Valete,Lab Instructor,Colgate University,,,,
Matt Lyboult,Senior Lab Instructor,Colgate University,,,,
Nicholas Diana,Assistant Professor,Colgate University,A5030975112,260,5,5
Noah Apthorpe,Associate Professor,Colgate University,A5082338011,1118,15,17
Puck Wen,Assistant Professor,Colgate University,,,,
Valerie Cucura,Senior Lab Instructor,Colgate University,,,,
Vijay Ramachandran,Associate Professor,Colgate University,A5103332469,437,10,11
Heather Amthauer,Associate Professor,College of St Benedict,,,,
Imad Rahal,Professor,College of St Benedict,,,,
Peter Ohmann,Associate Professor,College of St Benedict,,,,
Robert Hesse,Associate Professor,College of St Benedict,,,,
Srikanth Vemula,Assistant Professor,College of St Benedict,,,,
Vijay Srinivas Tida,Assistant Professor,College of St Benedict,,,,
Adam Lammert,Assistant Professor,College of the Holy Cross,A5046812723,1090,16,23
Farhad Mohsin,Assistant Professor,College of the Holy Cross,,,,
Kevin Walsh,Associate Professor,College of the Holy Cross,A5102968738,2047,14,20
Laurie Smith King,Professor,College of the Holy Cross,A5027561302,123,7,4
Ting Gu,Assistant Professor,College of the Holy Cross,A5029771940,4,2,0
Zack Fitzsimmons,Associate Professor,College of the Holy Cross,A5046438962,79,4,3
Alex Nord,Assistant Professor,College of Wooster,,,,
Dan Palmer,Professor,College of Wooster,A5077194830,1,1,0
Drew Guarnera,Assistant Professor,College of Wooster,,,,
Heather Guarnera,Assistant Professor,College of Wooster,A5081402304,188,8,6
John Musgrave,Visiting Assistant Professor,College of Wooster,A5007218294,394,9,7
Sofia Visa,Professor,College of Wooster,A5088427316,872,9,9
Ben Nye,Assistant Professor,Colorado College,A5044071498,196,8,6
Beth Malmskog,Associate Professor,Colorado College,A5078318963,158,6,5
Blake Jackson,Assistant Professor,Colorado College,,,,
Cory B Scott,Assistant Professor,Colorado College,A5075829832,144,5,2
Danielle Ellsworth,Assistant Professor,Colorado College,A5083362760,205,8,7
David Brown,Professor,Colorado College,,,,
Flavia Sancier-Barbosa,Associate Professor,Colorado College,,,,
Ike Agbanusi,Assistant Professor,Colorado College,A5078253317,31,1,1
Jane McDougall,Associate Professor,Colorado College,A5002382767,488,4,2
Janet Burge,Associate Professor,Colorado College,A5021501207,1363,16,26
Luis David Garcia Puente,Professor,Colorado College,A5005340752,594,12,13
Mike Siddoway,Professor,Colorado College,A5024949509,11,2,0
Minho Kim,Assistant Professor,Colorado College,,,,
Molly Moran,Associate Professor,Colorado College,A5073449996,46,4,1
Rebecca Garcia,Professor,Colorado College,A5074834712,62,4,1
Stefan Erickson,Associate Professor,Colorado College,A5089751508,30,3,1
Varsha Koushik,Assistant Professor,Colorado College,A5063836672,279,8,7
Ahmed Kamel,Professor,Concordia College,,,,
Damian Lampl,Associate Professor,Concordia College,,,,
Gregory Tanner,Associate Professor,Concordia College,,,,
Christine Chung,Professor,Connecticut College,A5005257501,202,7,6
Gary Parker,Professor,Connecticut College,A5014072754,663,12,23
John Schaeffer,Adjunct Instructor,Connecticut College,,,,
Ozgur Izmirli,Professor,Connecticut College,,,,
Robert Peitzsch,Adjunct Professor,Connecticut College,,,,
S. James Lee,Professor,Connecticut College,A5100416597,135,3,3
Stephen Douglass,Associate Professor,Connecticut College,,,,
Thomas Daggett,Adjunct Professor,Connecticut College,,,,
Timothy Becker,Associate Professor,Connecticut College,,,,
William Barnes,Adjunct Instructor,Connecticut College,,,,
William Tarimo,Associate Professor,Connecticut College,A5072551791,79,6,2
Ajit Chavan,Associate Professor,Cornell College,,,,
Lauren Jepsen,Assistant Professor,Cornell College,,,,
Jeff Humphries,Professor,Covenant College,,,,
Zeyu Zhou,Visiting Assistant Professor,Covenant College,,,,
Ana Wright,Assistant Professor,Davidson College,,,,
Angel Chavez,Assistant Professor,Davidson College,,,,
Carl Yerger,Professor,Davidson College,A5029000112,104,7,4
Catherine Nemitz,Assistant Professor,Davidson College,A5065938716,53,5,2
Hammurabi Mendes,Associate Professor,Davidson College,A5049822188,387,7,6
Heather Blake,Associate Professor,Davidson College,A5025176676,10,2,0
Jonad Pulaj,Associate Professor,Davidson College,A5070329454,129,3,2
Katy Williams,Assistant Professor,Davidson College,A5006952113,69,5,3
Laurie Heyer,Associate Professor,Davidson College,A5003136820,2002,15,16
Matthew Bachmann,Visiting Assistant Professor,Davidson College,,,,
Raghu Ramanujan,Associate Professor,Davidson College,A5007877912,289,9,8
Tabitha Peck,Associate Professor,Davidson College,A5090060844,3093,20,23
Terrence Lim,Assistant Professor,Davidson College,,,,
Tim Chartier,Professor,Davidson College,A5079664338,454,5,4
Yan Zhuang,Associate Professor,Davidson College,A5009698718,3487,28,79
Ashwin Lall,Professor,Denison University,A5085185917,1157,18,25
David Kahn,Assistant Professor,Denison University,,,,
Flannery Currin,Assistant Professor,Denison University,A5004358707,99,6,4
Matt Kretchmar,Professor,Denison University,A5041064703,256,2,2
Michael Chavrimootoo,Assistant Professor,Denison University,A5061361547,5,1,0
Mikey Goldweber,Professor,Denison University,A5001238870,1091,17,27
Stacey Truex,Assistant Professor,Denison University,A5066370292,3992,22,26
Allana Johnson,Instructor,DePauw University,A5051494273,26,3,1
Brian Howard,Associate Professor,DePauw University,A5112076971,880,10,11
Chad Byers,Associate Professor,DePauw University,A5016648608,43,3,1
Gloria Townsend,Professor,DePauw University,A5020163854,230,7,7
Khadija Stewart,Professor,DePauw University,A5040644002,114,3,2
Mehmet Gulum,Assistant Professor,DePauw University,A5042395265,173,4,1
Paul Bible,Assistant Professor,DePauw University,A5078212239,1171,15,19
Scott Thede,Professor,DePauw University,A5062717357,247,4,3
Dick Forrester,Professor,Dickinson College,,,,
Farhan Siddiqui,Associate Professor,Dickinson College,A5101954879,2089,24,50
Grant Braught,Professor,Dickinson College,A5057807588,550,11,11
John MacCormick,Professor,Dickinson College,A5090357402,3407,27,34
Matt Ferland,Assistant Professor,Dickinson College,A5022586125,46,4,2
William Goble,Lecturer,Dickinson College,,,,
Adam Michlin,Assistant Professor,Drew University,,,,
Alex Rudniy,Associate Professor,Drew University,A5065019593,151,7,6
Barry Burd,Professor,Drew University,A5075206599,199,6,6
Chris Gibbs,Adjunct Professor,Drew University,,,,
Diane Liporace,Assistant Teaching Professor,Drew University,,,,
Fred Meyer,Adjunct Professor,Drew University,,,,
Prasad Kothapalli,Adjunct Professor,Drew University,,,,
Valerie Siyuan Feng,Assistant Professor,Drew University,,,,
Yi Lu,Associate Professor,Drew University,A5101644547,29,4,0
Charlie Peck,Associate Professor,Earlham College,A5109506619,398,9,8
Debanjali Banerjee,Assistant Professor,Earlham College,A5082811476,163,6,5
Fatemeh Valizadeh Gamchi,Assistant Professor,Earlham College,,,,
Yunting Yin,Assistant Professor,Earlham College,A5101267356,15,2,0
Injoo Kim,Associate Professor,East-West University,,,,
Julie Zhang,Associate Professor,East-West University,,,,
Komal Vashisht,Adjunct Instructor,East-West University,,,,
Holger Mauch,Professor,Eckerd College,A5005674714,209,6,4
Kelly R. Debure,Professor,Eckerd College,A5069695635,28,3,2
Michael L Hilton,Associate Professor,Eckerd College,,,,
Brad McDanel,Associate Professor,Franklin & Marshall College,A5021927383,2594,13,13
Ed Novak,Associate Professor,Franklin & Marshall College,A5018914292,775,13,13
Jacob Logas,Assistant Professor,Franklin & Marshall College,,,,
Jing Hu,Associate Professor,Franklin & Marshall College,A5101421877,3269,14,19
Justin D Brody,Associate Professor,Franklin & Marshall College,A5000242153,41,4,0
Tony J Weaver,Adjunct Senior Instructor,Franklin & Marshall College,,,,
Willie Wilson,Associate Professor,Franklin & Marshall College,,,,
Kerry Smith,Professor,Franklin College,A5025182174,44,4,1
Robert Beasley,Professor,Franklin College,A5102472745,61,3,1
Andrea Tartaro,Professor,Furman University,A5086250772,407,10,10
Chris Alvin,Associate Professor,Furman University,A5032800073,261,8,8
Kevin Treu,Professor,Furman University,A5071442089,152,7,5
Rebecca Drucker,Assistant Professor,Furman University,A5037250892,232,6,6
Syed Fahad Sultan,Assistant Professor,Furman University,,,,
Clif Presser,Associate Professor,Gettysburg College,A5060173017,74,5,2
Daniel White,Lecturer,Gettysburg College,,,,
Ivaylo Ilinkin,Professor,Gettysburg College,A5076154938,90,5,4
Jonathan Hoffman,Adjunct Instructor,Gettysburg College,,,,
Sunghee Sunny Kim,Professor,Gettysburg College,A5100654454,1464,18,22
