name,title,college,openalex_id,openalex_citedby,openalex_hindex,openalex_i10index
Thuy Do,Assistant Professor,Luther College,A5062466077,4880,33,71
Adrian Rublein,Assistant Professor,Lycoming College,,,,
Krish Pillai,Assistant Professor,Lycoming College,,,,
Marcus Birkenkrahe,Associate Professor,Lyon College,A5043398304,9,1,0
Pietro Dall'Olio,Assistant Professor,Lyon College,,,,
Abby Marsh,Associate Professor,Macalester College,,,,
Amin Alhashim,Visiting Assistant Professor,Macalester College,A5077674077,74,6,2
Bret Jackson,Professor,Macalester College,A5034283634,412,10,11
Dan Drake,Visiting Assistant Professor,Macalester College,,,,
Daniel O'Loughlin,Visiting Assistant Professor,Macalester College,A5066285505,4,1,0
Elizabeth Ernst,Assistant Professor,Macalester College,A5010785906,34,2,1
Elizabeth Shoop,Professor,Macalester College,A5044182284,1419,16,23
Getiria Onsongo,Associate Professor,Macalester College,A5028223333,1000,15,18
Joslenne Peña,Assistant Professor,Macalester College,A5036331004,77,3,1
Lauren Milne,Associate Professor,Macalester College,A5003612486,569,13,15
Lian Duan,Instructor,Macalester College,,,,
Paul Cantrell,Senior Instructor,Macalester College,,,,
Shilad Sen,Professor,Macalester College,A5069561077,4424,23,32
Suhas Arehalli,Assistant Professor,Macalester College,A5046077921,91,4,3
Susan Fox,Professor,Macalester College,A5103992946,22,3,0
Barbara Johnson,Associate Professor,Maryville College,,,,
David Eve,Professor,Massachusetts College of Liberal Arts,,,,
Guodong Wang,Associate Professor,Massachusetts College of Liberal Arts,A5100449045,1143,13,18
Jennifer Hontz,Professor,Meredith College,,,,
Kristin Watkins,Professor of Practice,Meredith College,,,,
Mark Gass,Assistant Professor of Practice,Meredith College,,,,
Amy Briggs,Professor,Middlebury College,A5030870689,615,12,18
Ananya Das,Associate Professor,Middlebury College,A5111209239,1,1,0
Andrea Vaccari,Associate Professor,Middlebury College,,,,
Christopher Andrews,Associate Professor,Middlebury College,A5010596785,1270,14,17
Frank Swenton,Professor,Middlebury College,A5073962224,64,3,1
Laura Biester,Assistant Professor,Middlebury College,A5076796876,94,5,3
Matthew Dickerson,Professor,Middlebury College,A5008356497,1847,25,50
Michael Linderman,Associate Professor,Middlebury College,,,,
Peter Johnson,Associate Professor,Middlebury College,A5070885438,208,8,7
Phil Chodrow,Assistant Professor,Middlebury College,A5043926040,277,7,7
Philip Caplan,Assistant Professor,Middlebury College,A5072964811,230,8,8
Shelby Kimmel,Associate Professor,Middlebury College,A5047005219,437,9,9
Smith Gakuya,Visiting Lab Instructor,Middlebury College,,,,
Logan Mayfield,Professor,Monmouth College,A5019566476,6,2,0
Robert Utterback,Adjunct Professor,Monmouth College,A5014680139,94,5,3
Alyxander Burns,Assistant Professor,Mount Holyoke College,A5014100844,99,5,3
Audrey St. John,Professor,Mount Holyoke College,A5102272445,175,6,3
Barbara Staudt Lerner,Professor,Mount Holyoke College,A5021181338,1817,21,48
Diane Uwacu,Assistant Professor,Mount Holyoke College,A5088227031,75,5,3
Heather Pon-Barry,Associate Professor,Mount Holyoke College,A5032136386,951,18,25
James McCauley,Associate Professor,Mount Holyoke College,A5084225363,352,9,9
Lisa A. Ballesteros,Associate Professor,Mount Holyoke College,A5073020024,1817,14,14
Melody Su,Associate Professor,Mount Holyoke College,,,,
Tony Liu,Assistant Professor,Mount Holyoke College,,,,
Abbey D'Ovidio,Assistant Professor,Muhlenberg College,,,,
Allison Davidson,Associate Professor,Muhlenberg College,,,,
Elyn Rykken,Professor,Muhlenberg College,A5057151228,72,5,3
Gary Shufelt,Adjunct Professor,Muhlenberg College,,,,
Hamed Yaghoobian,Assistant Professor,Muhlenberg College,A5066345868,20,2,1
James Russell,Associate Professor,Muhlenberg College,,,,
Linda McGuire,Professor,Muhlenberg College,,,,
Michael Allocca,Associate Professor,Muhlenberg College,A5048146748,10,2,0
Michael Karcher,Assistant Professor,Muhlenberg College,,,,
Proyash Podder,Assistant Professor,Muhlenberg College,A5055624391,78,5,2
William Gryc,Professor,Muhlenberg College,A5069278355,30,3,1
Youngsun Jang,Assistant Professor,Muhlenberg College,A5059953398,79,5,4
Daniel Page,Visiting Assistant Professor,New College of Florida,,,,
David Gillman,Associate Professor,New College of Florida,A5017336997,464,10,10
Fahmida Hamid,Assistant Professor,New College of Florida,A5052742546,16,2,0
Gil Salu,Visiting Assistant Professor,New College of Florida,,,,
Adam Eck,Associate Professor,Oberlin College,A5080406705,280,9,9
Cynthia Taylor,Associate Professor,Oberlin College,A5045535763,1422,20,29
Emily Wang,Assistant Professor,Oberlin College,A5107963448,191,4,4
Howard Levinson,Assistant Professor,Oberlin College,A5102885781,1001,15,23
Joshua H. Davidson,Assistant Professor,Oberlin College,,,,
Mary Hogan,Assistant Professor,Oberlin College,A5055641193,27,2,1
Michael McCarrin,Assistant Professor,Oberlin College,A5140066921,0,0,0
Molly Q Feldman,Assistant Professor,Oberlin College,A5010858670,269,9,9
Roberto Hoyle,Associate Professor,Oberlin College,A5061198286,817,13,14
Sam Taggart,Associate Professor,Oberlin College,A5025461142,72,4,3
Stephen Checkoway,Associate Professor,Oberlin College,A5069566952,4756,16,21
Chris Cianci,Assistant Professor,Occidental College,,,,
Hector M. Camarillo Abad,Assistant Professor,Occidental College,,,,
Hsing-Hau Chen,Associate Professor,Occidental College,,,,
Joel Walsh,Assistant Professor,Occidental College,,,,
Justin Li,Associate Professor,Occidental College,A5089040164,703,13,16
Kathryn Leonard,Professor,Occidental College,A5004783856,222,9,6
Meiqing Zhang,Assistant Professor,Occidental College,,,,
Teddy Pozo,Assistant Professor,Occidental College,,,,
Treena Basu,Associate Professor,Occidental College,A5077197515,582,5,5
Mehwish Abbasi,Assistant Professor,Ohio Wesleyan University,,,,
Alexandra Papoutsaki,Associate Professor,Pomona College,A5060515739,1733,13,14
Andrew T. Wilson,Lecturer,Pomona College,,,,
Anthony Clark,Assistant Professor,Pomona College,A5070428667,787,13,15
David R. Kauchak,Professor,Pomona College,A5089892601,1708,19,23
Eleanor Birrell,Associate Professor,Pomona College,A5017352764,373,13,14
Jingyi Li,Assistant Professor,Pomona College,A5048818007,103,4,2
Joseph C. Osborn,Associate Professor,Pomona College,A5016436443,459,10,13
Michael Zlatin,Assistant Professor,Pomona College,A5050694688,92,3,1
Sam Thomas,Assistant Professor,Pomona College,A5101568004,145,7,4
Tzu-Yi Chen,Professor,Pomona College,A5022940704,735,16,29
Yuqing Melanie Wu,Professor,Pomona College,A5047960393,3785,30,75
Gregory Goeckel,Professor,Presbyterian College,,,,
Olivia Nche,Assistant Professor,Presbyterian College,A5137838738,0,0,0
Brad Spendlove,Associate Professor,Randolph College,,,,
Jia Wan,Associate Professor,Randolph College,,,,
Marc Ordower,Visiting Associate Professor,Randolph College,,,,
John W. McManus,Associate Professor,Randolph-Macon College,,,,
La Toria H. Tookes,Senior Lecturer,Randolph-Macon College,,,,
Maha Elouni,Assistant Professor,Randolph-Macon College,,,,
Rance Necaise,Associate Professor,Randolph-Macon College,,,,
Robin M. Givens,Associate Professor,Randolph-Macon College,,,,
Samuel Henry,Assistant Professor,Randolph-Macon College,,,,
Adam Groce,Associate Professor,Reed College,A5035309140,498,10,10
Erica Blum,Assistant Professor,Reed College,A5075398205,176,8,8
Greg Anderson,Assistant Professor,Reed College,A5067492876,115,3,3
Harper Knittel,Assistant Professor,Reed College,,,,
Jim Fix,Professor,Reed College,A5082853201,74,4,1
Addison Schwamb,Assistant Professor,Rhodes College,,,,
Betsy Sanders,Professor,Rhodes College,A5019862616,17,2,0
Brian Larkins,Associate Professor,Rhodes College,,,,
Jace King,Visiting Assistant Professor,Rhodes College,,,,
Mark Cooper,Adjunct Assistant Professor,Rhodes College,,,,
Matt Superdock,Assistant Professor,Rhodes College,A5077595259,8,1,0
Phillip Kirlin,Associate Professor,Rhodes College,A5021095229,122,6,3
Sean Kugele,Assistant Professor,Rhodes College,A5056383435,183,6,4
Anil Shende,Professor,Roanoke College,A5087632091,171,7,6
Durell Bouchard,Associate Professor,Roanoke College,A5073563217,345,7,4
Wale Sekoni,Assistant Professor,Roanoke College,,,,
Adam Albina,Assistant Professor,Saint Anselm College,A5085681950,2,1,0
Michael Huelsman,Assistant Professor,Saint Anselm College,A5032791854,2,1,0
Mitra Mohtarami,Assistant Professor,Saint Anselm College,,,,
Rajesh Prasad,Associate Professor,Saint Anselm College,A5057941088,850,13,24
Aarathi Prasad,Associate Professor,Skidmore College,A5072704997,281,8,8
Christine Reilly,Associate Professor,Skidmore College,A5060318502,196,8,5
David Read,Associate Teaching Professor,Skidmore College,A5101553130,1,1,0
Esma Wali,Visiting Assistant Professor,Skidmore College,,,,
Michael Eckmann,Associate Professor,Skidmore College,A5021592830,443,8,8
Nelson Dellis,Visiting Assistant Professor,Skidmore College,,,,
Thomas O'Connell,Associate Professor,Skidmore College,,,,
Wenlu Du,Assistant Professor,Skidmore College,,,,
Ab Mosca,Visiting Assistant Professor,Smith College,A5026168274,74,4,2
Halie Rando,Assistant Professor,Smith College,,,,
Hia Ghosh,Lecturer,Smith College,,,,
Ileana Streinu,Professor,Smith College,A5008565320,2195,25,51
Jamie Macbeth,Associate Professor,Smith College,A5008934616,923,14,17
Johanna Brewer,Assistant Professor,Smith College,A5003438642,620,10,12
Katherine M. Kinnaird,Associate Professor,Smith College,A5046702039,115,5,2
Michael Robson,Assistant Professor,Smith College,,,,
Nicholas Howe,Professor,Smith College,A5008268577,1148,15,21
Pablo Frank Bolton,Lecturer,Smith College,A5053682698,2,1,0
R. Jordan Crouser,Associate Professor,Smith College,A5084913586,1206,16,18
Shinyoung Cho,Assistant Professor,Smith College,,,,
Ammon Hepworth,Assistant Professor,Southern Virginia University,,,,
Arjun Chandrasekhar,Assistant Professor,Southwestern University,,,,
Barbara M. Anthony,Professor,Southwestern University,A5002137614,157,6,5
Jacob Schrum,Associate Professor,Southwestern University,A5078279091,693,13,16
A.J. Dykstra,Lecturer,St. Lawrence University,,,,
Choong-Soo Lee,Associate Professor,St. Lawrence University,A5011104998,69,5,2
Daniel Condon,Assistant Professor,St. Lawrence University,,,,
Daniel M Look,Professor,St. Lawrence University,A5049410885,298,8,7
Duncan Melville,Professor,St. Lawrence University,A5037790488,331,10,10
Ed Harcourt,Professor,St. Lawrence University,A5017511573,90,4,2
Gabriel Dorfsman-Hopkins,Assistant Professor,St. Lawrence University,A5007319903,7,2,0
Ivan Ramler,Associate Professor,St. Lawrence University,A5024482759,759,8,8
Jessica Chapman,Professor,St. Lawrence University,A5076129195,288,8,8
Kevin A. Angstadt,Associate Professor,St. Lawrence University,A5043289411,183,8,7
Leiyue Li,Assistant Professor,St. Lawrence University,,,,
Lisa Torrey,Associate Professor,St. Lawrence University,A5091343155,2152,12,14
Maegan K. Bos,Associate Professor,St. Lawrence University,,,,
Matt Higham,Associate Professor,St. Lawrence University,,,,
Michael Schuckers,Professor,St. Lawrence University,A5083930742,467,12,12
Patti Frazer Lock,Professor,St. Lawrence University,A5079008700,63,3,2
Robin Lock,Professor,St. Lawrence University,A5088230521,1400,17,31
Bob Tracy,Adjunct Instructor,St. Mary's College of Maryland,,,,
Emily Barranca,Assistant Professor,St. Mary's College of Maryland,,,,
Muhieddine Shebaro,Visiting Assistant Professor,St. Mary's College of Maryland,,,,
Richard Young,Adjunct Professor,St. Mary's College of Maryland,,,,
Sayan Goswami,Assistant Professor,St. Mary's College of Maryland,,,,
Simon Read,Associate Professor,St. Mary's College of Maryland,A5063542194,5149,31,40
Waqar Saleem,Associate Professor,St. Mary's College of Maryland,,,,
Seth Meyer,Professor,St. Norbert College,A5065277575,142,6,3
Barbara Johnson,Visiting Assistant Professor,St. Olaf College,,,,
Jaime Davila,Associate Professor,St. Olaf College,A5007075478,4365,33,49
Kodjo Houssou,Visiting Instructor,St. Olaf College,,,,
Matthew Wright,Associate Professor,St. Olaf College,A5074393906,326,7,7
Melissa Lynn,Assistant Professor,St. Olaf College,A5125887672,0,0,0
Olaf Hall-Holt,Associate Professor,St. Olaf College,A5049179869,1453,9,9
Ryota Matsuura,Professor,St. Olaf College,A5061111766,66,4,2
Will Leeson,Assistant Professor,St. Olaf College,,,,
Hamza M. Elhamdadi,Assistant Professor,Stonehill College,,,,
Samuel Goree,Assistant Professor,Stonehill College,A5062429758,14,1,1
Sharmishtha Dutta,Assistant Professor,Stonehill College,,,,
Alathea Jensen,Associate Professor,Susquehanna University,A5027160512,1,1,0
Alexander Wilce,Professor,Susquehanna University,A5088250843,1444,20,33
Anusha Veluswamy,Assistant Professor,Susquehanna University,A5116793998,5,1,0
Edisanter Lo,Professor,Susquehanna University,A5108221266,242,7,6
Jeffrey Graham,Associate Professor,Susquehanna University,A5108677262,298,8,8
Steven Scheirer,Assistant Professor,Susquehanna University,,,,
Ameet Soni,Associate Professor,Swarthmore College,A5039203631,289,8,6
Andrew Danner,Professor,Swarthmore College,A5029333276,331,10,10
Ben Mitchell,Assistant Professor,Swarthmore College,A5054443471,328,10,11
Charlie Kazer,Lab Instructor,Swarthmore College,A5011928628,63,2,2
Gabriel Hope,Visiting Assistant Professor,Swarthmore College,,,,
Joshua Brody,Associate Professor,Swarthmore College,A5079684179,504,10,10
Keith O'Hara,Associate Professor,Swarthmore College,A5125905590,0,0,0
Kevin Webb,Associate Professor,Swarthmore College,A5046579558,701,12,12
Lila Fontes,Associate Professor,Swarthmore College,A5065388772,68,5,3
Nathaniel Grammel,Visiting Assistant Professor,Swarthmore College,,,,
Neil Lutz,Visiting Assistant Professor,Swarthmore College,A5015287023,158,8,5
Ranysha Ware,Assistant Professor,Swarthmore College,,,,
Rich Wicentowski,Professor,Swarthmore College,A5000976384,1260,13,16
Sukrit Venkatagiri,Assistant Professor,Swarthmore College,A5007675088,324,9,8
Tia Newhall,Professor,Swarthmore College,A5006853802,1214,11,13
Vasanta Chaganti,Associate Professor,Swarthmore College,A5014493367,139,6,5
Zachary Palmer,Associate Professor,Swarthmore College,A5077132475,40,5,0
Catherine Cavagnaro,Professor,The University of the South,,,,
Ross Sowell,Associate Professor,The University of the South,,,,
Stephen Carl,Associate Professor,The University of the South,,,,
Marcus Brumfield,Assistant Professor,Tougaloo College,,,,
Bobby England,Professor,Transylvania University,,,,
Kenny Moorman,Professor,Transylvania University,A5057422963,254,8,8
Chandranil Chakraborttii,Assistant Professor,Trinity College,A5025349580,123,5,4
Ewa Syta,Associate Professor,Trinity College,A5087152867,1990,10,11
Jonathan Johnson,Visiting Lecturer,Trinity College,,,,
Madalene Spezialetti,Associate Professor,Trinity College,A5008051842,311,8,6
Maminur Islam,Assistant Professor,Trinity College,A5106752599,3,1,0
Peter A. Yoon,Professor,Trinity College,A5049931253,145,6,5
Takunari Miyazaki,Associate Professor,Trinity College,A5086482332,118,5,2
Britton Horn,Assistant Professor,Trinity University,A5084624866,185,8,7
Eduardo Davalos Anaya,Assistant Professor,Trinity University,,,,
Eva Tuba,Assistant Professor,Trinity University,A5050579174,3421,34,72
Johanna Jacob,Assistant Professor,Trinity University,,,,
Matthew Hibbs,Associate Professor,Trinity University,A5007835627,4562,24,29
Paul Myers,Professor,Trinity University,A5086442941,398,9,9
Seth Fogarty,Associate Professor,Trinity University,A5017354172,261,8,8
Sheng Tan,Associate Professor,Trinity University,A5018231776,1779,20,29
Yu Zhang,Professor,Trinity University,A5100433414,7002,37,117
Zeyu Chen,Visiting Assistant Professor,Trinity University,,,,
Aaron Cass,Associate Professor,Union College (NY),,,,
Arjun Viswanathan,Visiting Assistant Professor,Union College (NY),,,,
Chris Fernandes,Professor,Union College (NY),,,,
Georgia Doing,Visiting Assistant Professor,Union College (NY),,,,
John Rieffel,Professor,Union College (NY),,,,
Kristina Striegnitz,Associate Professor,Union College (NY),,,,
Matt Anderson,Associate Professor,Union College (NY),,,,
Nick Webb,Associate Professor,Union College (NY),,,,
Shruti Mahajan,Assistant Professor,Union College (NY),,,,
TJ Schlueter,Visiting Assistant Professor,Union College (NY),,,,
Andrew Marshall,Associate Professor,University of Mary Washington,A5049710569,63,5,0
Evan Coleman,Assistant Professor,University of Mary Washington,A5125717016,0,0,0
Gusty Cooper,Lecturer,University of Mary Washington,,,,
Ian Finlayson,Associate Professor,University of Mary Washington,A5064891319,58,5,2
Jennifer Polack,Professor,University of Mary Washington,A5059958079,24,3,0
Jessica Zeitz,Associate Professor,University of Mary Washington,,,,
Josh Clements,Lecturer,University of Mary Washington,,,,
Karen Anewalt,Professor,University of Mary Washington,A5089167579,267,8,7
Prashant Chandrasekar,Assistant Professor,University of Mary Washington,A5027666206,19,3,0
Stephen Davies,Professor,University of Mary Washington,A5052656640,1218,17,23
Xin-Wen Wu,Associate Professor,University of Mary Washington,A5004691007,1300,20,36
Elena Machkasova,Associate Professor,University of Minnesota Morris,A5017738425,83,5,2
Kristin Lamberty,Associate Professor,University of Minnesota Morris,A5002280711,90,6,4
Nic McPhee,Professor,University of Minnesota Morris,A5007077416,3568,25,40
Peter Dolan,Associate Professor,University of Minnesota Morris,,,,
Wenkai Guan,Assistant Professor,University of Minnesota Morris,A5024593560,65,5,1
Adam Whitley,Assistant Professor,University of North Carolina Asheville,,,,
Farzana Rashid,Assistant Professor,University of North Carolina Asheville,,,,
Kenneth Bogert,Associate Professor,University of North Carolina Asheville,,,,
Kevin Sanft,Professor,University of North Carolina Asheville,,,,
Marietta Cameron,Professor,University of North Carolina Asheville,,,,
Michael Sarris,Lecturer,University of North Carolina Asheville,,,,
Sarah Van Wart,Assistant Professor,University of North Carolina Asheville,,,,
Adam Smith,Associate Professor,University of Puget Sound,A5103797189,381,9,8
Alison Paradise,Instructor,University of Puget Sound,,,,
America Chambers,Associate Professor,University of Puget Sound,A5017849947,314,3,1
Cynthia Gibson,Visiting Assistant Professor,University of Puget Sound,,,,
David Chiu,Professor,University of Puget Sound,A5102819493,2097,24,38
Jake Price,Associate Professor,University of Puget Sound,,,,
Maddie Weinstein,Associate Professor,University of Puget Sound,A5002246290,74,4,3
Marissa Masden,Assistant Professor,University of Puget Sound,A5074718704,16,2,1
Sara Johnson,Visiting Assistant Professor,University of Puget Sound,,,,
Sunita Chepuri,Associate Professor,University of Puget Sound,,,,
Arthur Charlesworth,Professor,University of Richmond,A5023509148,222,8,6
Barry Lawson,Professor,University of Richmond,A5061146101,695,12,15
Catherine Finegan-Dollak,Assistant Professor,University of Richmond,,,,
Douglas Szajda,Associate Professor,University of Richmond,A5078245654,184,5,4
Joonsuk Park,Associate Professor,University of Richmond,A5070811213,8361,38,72
M Charity,Assistant Professor,University of Richmond,A5088582174,460,12,13
Mmachi Obiorah,Assistant Professor,University of Richmond,,,,
Patrick Martin,Assistant Professor,University of Richmond,A5063356958,1142,14,19
Prateek Bhakta,Associate Professor,University of Richmond,A5066388574,63,5,1
Shweta Ware,Associate Professor,University of Richmond,,,,
Volkan Bakirdan,Adjunct Instructor,University of Richmond,,,,
William F. Prior,Adjunct Instructor,University of Richmond,,,,
Yucong Jiang,Associate Professor,University of Richmond,A5002479079,0,0,0
C Karen,Associate Professor,University of Virginia--Wise,,,,
E Alex,Adjunct Instructor,University of Virginia--Wise,,,,
F David,Senior Instructor,University of Virginia--Wise,,,,
H Robert,Associate Professor,University of Virginia--Wise,,,,
L Shilpa,Assistant Professor,University of Virginia--Wise,,,,
S Jacob,Professor,University of Virginia--Wise,,,,
Christopher Sadowski,Associate Professor,Ursinus College,,,,
David Henry,Instructor,Ursinus College,,,,
Eric Mawuena Takyi,Assistant Professor,Ursinus College,A5041881424,51,5,1
Hugo Moises Montesinos-Yufa,Associate Professor,Ursinus College,A5028763357,317,8,8
Leslie New,Associate Professor,Ursinus College,,,,
Lisa A. Grossbauer,Assistant Professor,Ursinus College,,,,
Nicholas Scoville,Professor,Ursinus College,A5088461515,110,6,2
Olena Kozhushkina,Associate Professor,Ursinus College,,,,
Susan Adam,Instructor,Ursinus College,,,,
William Mongan,Associate Professor,Ursinus College,A5045056426,433,11,12
Anna Gommerstadt,Assistant Professor,Vassar College,,,,
Heather Newman,Assistant Professor,Vassar College,A5067929093,644,8,7
Jacob Erickson,Visiting Assistant Professor,Vassar College,A5011078656,75,4,2
Jason Waterman,Associate Professor,Vassar College,A5026245262,553,14,15
Jonathan Gordon,Assistant Professor,Vassar College,A5042604848,1632,23,40
Logan Stapleton,Assistant Professor,Vassar College,A5042444838,437,9,8
Luke Hunsberger,Professor,Vassar College,A5043048175,831,14,19
Marc L. Smith,Professor,Vassar College,A5043448756,523,7,7
Peter Lemieszewski,Visiting Assistant Professor,Vassar College,,,,
Rui Manuel Pacheco Meireles,Associate Professor,Vassar College,A5053287898,405,7,5
Abdullah Al-Alaj,Assistant Professor,Virginia Wesleyan University,A5006748647,205,8,7
Zizhong J. Wang,Professor,Virginia Wesleyan University,A5023147382,157,4,4
Alison Rosenblum,Visiting Assistant Professor,Wabash College,,,,
Chad Westphal,Professor,Wabash College,A5016667715,167,7,7
Colin McKinney,Associate Professor,Wabash College,,,,
Katie Ansaldi,Associate Professor,Wabash College,A5067662576,4,2,0
Qixin Deng,Assistant Professor,Wabash College,A5034151029,43,4,2
Ryeongkyung Yoon,Assistant Professor,Wabash College,A5079745264,13,3,0
Timur Akhunov,Assistant Professor,Wabash College,A5027229500,16,2,1
William J. Turner,Associate Professor,Wabash College,A5002705303,197,4,3
Jim Jacobs,Assistant Professor,Wartburg College,,,,
Terry Letsche,Associate Professor,Wartburg College,,,,
Amanda Holland-Minkley,Professor,Washington & Jefferson College,,,,
Charles Hannon,Professor,Washington & Jefferson College,,,,
John Ladd,Assistant Professor,Washington & Jefferson College,,,,
Rebecca Rapp,Assistant Professor,Washington & Jefferson College,,,,
Elizabeth Matthews,Associate Professor,Washington and Lee University,,,,
Kefu Lu,Associate Professor,Washington and Lee University,A5064129575,204,6,5
Nicholas Gardella,Assistant Professor,Washington and Lee University,,,,
Sara Sprenkle,Associate Professor,Washington and Lee University,A5018952991,899,12,14
Simon Levy,Professor,Washington and Lee University,A5093944074,261,8,4
Trevor Stalnaker,Assistant Professor,Washington and Lee University,,,,
Austin Lobo,Associate Professor,Washington College,A5041686906,203,7,7
Heather Switzer,Assistant Professor,Washington College,,,,
Shaun Ramsey,Professor,Washington College,A5110261034,40,1,1
Alexa VanHattum,Assistant Professor,Wellesley College,A5029623128,96,5,2
Brian Brubach,Assistant Professor,Wellesley College,A5050667686,187,7,7
Brian Tjaden,Professor,Wellesley College,A5030823572,4948,24,27
Carolyn Anderson,Assistant Professor,Wellesley College,A5075492610,1123,12,14
Catherine Grevet Delcourt,Associate Professor,Wellesley College,A5058618768,80,4,3
Christine Bassem,Associate Professor,Wellesley College,A5030365120,85,5,1
Eni Mustafaraj,Associate Professor,Wellesley College,A5026626448,2371,17,24
Franklyn Turbak,Associate Professor,Wellesley College,A5081922700,1813,18,24
Jordan Tynes,Assistant Teaching Professor,Wellesley College,A5074848539,52,1,1
Orit Shaer,Associate Professor,Wellesley College,A5072659945,4730,31,75
Panagiotis Metaxas,Professor,Wellesley College,A5001125856,2763,24,38
Peter Mawhorter,Associate Teaching Professor,Wellesley College,A5018086266,453,10,10
Sara Melnick,Assistant Teaching Professor,Wellesley College,,,,
Scott Anderson,Associate Teaching Professor,Wellesley College,A5073853669,888,13,14
Smaranda Sandu,Assistant Teaching Professor,Wellesley College,A5111206995,14,1,1
Stella Kakavouli,Teaching Professor,Wellesley College,A5008651580,13,2,0
Vinitha Gadiraju,Assistant Professor,Wellesley College,A5043840763,189,5,3
Yaniv Yacoby,Assistant Professor,Wellesley College,A5031215668,74,5,1
Dan Licata,Associate Professor,Wesleyan University,A5009198759,975,21,29
Daniel Krizanc,Professor,Wesleyan University,A5138027457,0,0,0
James Lipton,Professor,Wesleyan University,A5001103236,154,8,5
Norman Danner,Professor,Wesleyan University,A5056512208,302,10,10
Sebastian Zimmeck,Associate Professor,Wesleyan University,A5000743993,1039,14,14
Sonia Roberts,Assistant Professor,Wesleyan University,A5018012682,246,10,11
Victoria Ursula Manfredi,Associate Professor,Wesleyan University,A5019412616,222,8,7
Wai Kiu Chan,Professor,Wesleyan University,A5007739651,817,11,11
Yuxuan Mei,Assistant Professor,Wesleyan University,A5025755106,73,4,3
Heather Muchowski,Assistant Professor,Westminster College (PA),,,,
John P. Bonomo,Professor,Westminster College (PA),,,,
Natacha Fontes Merz,Associate Professor,Westminster College (PA),,,,
Devin Pohly,Senior Lecturer,Wheaton College (IL),,,,
Hyunju Kim,Associate Professor,Wheaton College (IL),,,,
Thomas VanDrunen,Professor,Wheaton College (IL),,,,
Mark D. LeBlanc,Professor,Wheaton College (MA),,,,
Michael B. Gousie,Professor,Wheaton College (MA),,,,
Nicholas Almeder,Visiting Instructor,Wheaton College (MA),,,,
Tony Tong,Assistant Professor,Wheaton College (MA),,,,
Janet Davis,Professor,Whitman College,A5102908103,913,14,20
John Stratton,Associate Professor,Whitman College,A5034958091,2212,17,22
Jordan Wirfs-Brock,Assistant Professor,Whitman College,A5013271583,185,7,5
Richard Torres Molina,Visiting Instructor,Whitman College,,,,
Sachintha Pitigala,Visiting Assistant Professor,Whitman College,A5107077762,0,0,0
William Bares,Associate Professor,Whitman College,A5070429038,596,13,15
Calvin K Deutschbein,Assistant Professor,Willamette University,A5048337173,140,6,5
Fred Agbo,Assistant Professor,Willamette University,A5018628205,1552,20,34
Haiyan Cheng,Professor,Willamette University,A5101082621,15,1,1
Heather Kitada Smalley,Associate Professor,Willamette University,,,,
Hendrik Orem,Assistant Professor,Willamette University,,,,
Jed Rembold,Associate Professor,Willamette University,A5086476102,15,2,1
Kristen Gore,Assistant Professor,Willamette University,,,,
Lucas P Cordova,Assistant Professor,Willamette University,A5121407246,4,1,0
Rachel A Brown,Assistant Professor,Willamette University,,,,
Zechariah D Meunier,Assistant Professor,Willamette University,,,,
Aaron Williams,Associate Professor,Williams College,A5032232670,1043,19,35
Daniel Barowy,Associate Professor,Williams College,A5032195792,433,9,8
James Bern,Assistant Professor,Williams College,A5085755421,575,12,12
Jeannie Albrecht,Professor,Williams College,A5056332821,3438,19,25
Katie Keith,Assistant Professor,Williams College,A5062069583,435,8,8
Kelly Shaw,Professor,Williams College,A5103504814,513,7,6
Lucas Rosenblatt,Assistant Professor,Williams College,,,,
Mark Hopkins,Associate Professor,Williams College,A5057318657,5705,39,81
Nate Chambers,Associate Professor,Williams College,,,,
Rohit Bhattacharya,Assistant Professor,Williams College,A5041602813,2397,13,20
Samuel McCauley,Associate Professor,Williams College,A5006653893,207,9,9
Shikha Singh,Associate Professor,Williams College,A5100707792,399,10,10
Stephen N. Freund,Professor,Williams College,A5110858761,3770,28,38
William Jannen,Associate Professor,Williams College,A5089059073,443,9,9
Sunday Ngwobia,Assistant Professor,Wittenberg University,,,,
Theresa Wilson,Professor of Practice,Wittenberg University,,,,
Aaron L. Garrett,Associate Professor,Wofford College,,,,
Beau M. Christ,Associate Professor,Wofford College,,,,
Nicole Tobias,Assistant Professor,Wofford College,,,,
