name,title,college,field,subfields
Fernanda Eliott,Assistant Professor,Grinnell College,Computer Science,Artificial intelligence|Machine learning
Shawn Ong,Assistant Professor,Grinnell College,Computer Science,Algorithms & complexity|Logic & verification
Samuel A. Rebelsky,Professor,Grinnell College,Computer Science,Computer science education
William Rebelsky,Assistant Professor,Grinnell College,Computer Science,Artificial intelligence|Computer vision
Jerod Weinman,Associate Professor,Grinnell College,Computer Science,Computer vision|Machine learning|Artificial intelligence
Aaron Nienow,Senior Instructor,Gustavus Adolphus College,Mathematics or Statistics,
Baili Chen,Associate Professor,Gustavus Adolphus College,Mathematics or Statistics,
Flint Million,Adjunct Assistant Professor,Gustavus Adolphus College,Computer Science,
Guarionex Salivia,Associate Professor,Gustavus Adolphus College,Computer Science,Human-computer interaction|Computer science education
Jacob Siehler,Associate Professor,Gustavus Adolphus College,Mathematics or Statistics,
Jeff Ford,Visiting Assistant Professor,Gustavus Adolphus College,Mathematics or Statistics,
Jillian Downey,Associate Professor,Gustavus Adolphus College,Mathematics or Statistics,
Laura Hildreth,Associate Professor,Gustavus Adolphus College,Mathematics or Statistics,
Louis Yu,Associate Professor,Gustavus Adolphus College,Computer Science,Information retrieval|Computer science education
Darren Strash,Associate Professor,Hamilton College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Mark Bailey,Professor,Hamilton College,Computer Science,Computer security & privacy|Computer architecture
Mason Brown,Visiting Assistant Professor,Hamilton College,Computer Science,Robotics|Artificial intelligence|Software engineering
Shawn Chen,Assistant Professor,Hamilton College,Computer Science,Machine learning|Computational bio & bioinformatics
Karyn Doke,Assistant Professor,Hamilton College,Computer Science,Computer networks
Han Dong,Assistant Professor,Hamilton College,Computer Science,Distributed systems|Operating systems|Measurement & performance analysis
Thomas Helmuth,Associate Professor,Hamilton College,Computer Science,Artificial intelligence
Sarah Morrison-Smith,Assistant Professor,Hamilton College,Computer Science,Human-computer interaction
Wenbo Wang,Visiting Assistant Professor,Hamilton College,Computer Science,Natural language processing|Computer security & privacy
Dylan Domel-White,Assistant Professor,Hampden-Sydney College,Mathematics or Statistics,
Rebecca Jayne,Associate Professor,Hampden-Sydney College,Mathematics or Statistics,
Brian Lins,Professor,Hampden-Sydney College,Mathematics or Statistics,
Sarah Loeb,Associate Professor,Hampden-Sydney College,Mathematics or Statistics,
John Machacek,Assistant Professor,Hampden-Sydney College,Mathematics or Statistics,
Joseph Rennie,Assistant Professor,Hampden-Sydney College,Computer Science,
Michael C. Strayer,Associate Professor,Hampden-Sydney College,Mathematics or Statistics,
William Tolley,Assistant Professor,Hampden-Sydney College,Computer Science,Computer security & privacy
Jeffrey LaMarche,Visiting Instructor,Hanover College,Computer Science,
Haris Skiadas,Professor,Hanover College,Computer Science,Algorithms & complexity
