Name,City,State,ROR,Major,Minor/Concentration,Program Link,Faculty Link,Schedule Link
Susquehanna University,Selinsgrove,PA,02nmnpn85,1.0,1.0,https://www.susqu.edu/academics/majors-and-minors/department-of-mathematics-and-computer-science/computer-science/,https://www.susqu.edu/academics/majors-and-minors/department-of-mathematics-and-computer-science/computer-science/,https://su-ss-live.susqu.edu/Student/Courses/Search?subjects=CSCI
Swarthmore College,Swarthmore,PA,012dg8a96,1.0,1.0,https://www.swarthmore.edu/computer-science,https://www.swarthmore.edu/computer-science/faculty-staff,https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Tougaloo College,Tougaloo,MS,03feyt230,1.0,1.0,https://www.tougaloo.edu/academics/divisions/natural-science/mathematics-computer-science-department,https://www.tougaloo.edu/academics/divisions/natural-science/mathematics-computer-science-department/,https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Transylvania University,Lexington,KY,01h4hqc60,1.0,1.0,https://www.transy.edu/academics/program/computer-science/,https://www.transy.edu/academics/program/computer-science/computer-science-faculty/,https://selfserv.transy.edu/Student/Courses/Search?subjects=CS
Trinity College,Hartford,CT,03j3dbz94,1.0,1.0,https://www.trincoll.edu/cs/,https://www.trincoll.edu/cs/faculty-and-staff/,https://www.trincoll.edu/cs/course-schedule/
Trinity University,San Antonio,TX,00t8gz605,1.0,1.0,https://www.trinity.edu/academics/departments/computer-science,https://www.trinity.edu/academics/departments/computer-science/computer-science-bs#faculty,
Union College (NY),Schenectady,NY,058w5nk68,1.0,1.0,https://www.union.edu/computer-science,https://www.union.edu/faculty-staff/computer-science,https://selfservice.union.edu/Student/Courses/Search?subjects=CSC
University of Mary Washington,Fredericksburg,VA,03b48gv34,1.0,1.0,https://cas.umw.edu/computerscience/,https://cas.umw.edu/computerscience/computer-science-faculty/,https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
University of Minnesota Morris,Morris,MN,05vzqzh92,1.0,1.0,https://morris.umn.edu/academics/computer-science,https://morris.umn.edu/academics/computer-science,http://z.umn.edu/publicclasssearch
University of North Carolina Asheville,Asheville,NC,017c6at71,1.0,1.0,https://www.unca.edu/programs/computer-science/,https://go.unca.edu/cs/,https://www.unca.edu/schedules/
University of Puget Sound,Tacoma,WA,042drmv40,1.0,1.0,https://www.pugetsound.edu/academics/computer-science,https://www.pugetsound.edu/academics/computer-science/faculty,https://campus.pugetsound.edu/psc/PUBLIC/EMPLOYEE/CAMPPUB/c/COMMUNITY_ACCESS.CLASS_SEARCH.GBL
University of Richmond,Richmond,VA,03y71xh61,1.0,1.0,https://cs.richmond.edu/,https://cs.richmond.edu/faculty/index.html,https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
The University of the South,Sewanee,TN,05r5k8873,1.0,1.0,https://new.sewanee.edu/programs-of-study/math-cs/,https://new.sewanee.edu/programs-of-study/math-cs/faculty-staff/,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=
University of Virginia--Wise,Wise,VA,04hx5st34,1.0,1.0,https://www.uvawise.edu/academics/majors-minors/computer-science,https://www.uvawise.edu/academics/departments/mathematics-computer-science/mathematics-computer-science-faculty-staff,
Ursinus College,Collegeville,PA,02jqn4a25,1.0,1.0,https://www.ursinus.edu/academics/mathematics-computer-science-and-statistics/,https://www.ursinus.edu/academics/mathematics-computer-science-and-statistics/faculty-and-staff/,https://selfservice.ursinus.edu/Student/Courses/Search?subjects=CS
Vassar College,Poughkeepsie,NY,022x6qg61,1.0,0.0,https://www.vassar.edu/computerscience,https://www.vassar.edu/computerscience/faculty,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Virginia Wesleyan University,Virginia Beach,VA,03ken7w58,1.0,1.0,https://www.vwu.edu/academics/majors/computer-science/,https://www.vwu.edu/academics/majors/computer-science/meet-the-faculty.php,https://webadvisor.vwu.edu/WebAdvisor/WebAdvisor
Wabash College,Crawfordsville,IN,00p11pk44,1.0,1.0,https://www.wabash.edu/academics/computer_science,https://www.wabash.edu/academics/computer_science/facstaff,https://www.wabash.edu/apps/registrar/course-sections?pages_id=1&dept=CSC&term=26/SP
Wartburg College,Waverly,IA,02exxw634,1.0,1.0,https://www.wartburg.edu/computer-science/,https://www.wartburg.edu/academics/mcsp-faculty/,https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Washington and Lee University,Lexington,VA,05r9xgf14,1.0,1.0,https://www.wlu.edu/computer-science-department,https://www.wlu.edu/computer-science-department/faculty-and-staff,https://managementtools4.wlu.edu/CourseOfferings/
Washington College,Chestertown,MD,02vk0qj37,1.0,1.0,https://www.washcoll.edu/academic_departments/math-and-computer-science/index.php,https://www.washcoll.edu/academics/departments/math-comp-sci/faculty.php,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule.php
Washington & Jefferson College,Washington,PA,05k3dc376,1.0,0.0,https://www.washjeff.edu/programs/computing-and-information-studies-cis/,https://www.washjeff.edu/programs/computing-and-information-studies-cis/,https://jaysource.washjeff.edu/Student/Courses/Search?subjects=CIS
Wellesley College,Wellesley,MA,01srpnj69,1.0,1.0,https://www.wellesley.edu/cs,https://www.wellesley.edu/cs/faculty,https://www.wellesley.edu/cs/curriculum/current
Wesleyan University,Middletown,CT,05h7xva58,1.0,1.0,https://www.wesleyan.edu/mathcs/cs/index.html,https://www.wesleyan.edu/mathcs/cs/faculty.html,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse_list=COMP&term=1259&offered=Y
Westminster College (PA),Fulton,MO,01j1cwt71,1.0,1.0,https://www.westminster.edu/academics/schools/physical-mathematical/math-cs/index.cfm,https://www.westminster.edu/academics/schools/physical-mathematical/math-cs/faculty.cfm,https://www.westminster.edu/academics/course-schedule.cfm?subject=CS
Westmont College,Santa Barbara,CA,00xhcz327,1.0,0.0,https://www.westmont.edu/computer-science,https://www.westmont.edu/faculty,https://waypoint.westmont.edu/Student/Courses/Search?subjects=CS
Wheaton College (IL),Wheaton,IL,0581k0452,1.0,1.0,https://www.wheaton.edu/academics/programs/computer-science/,https://www.wheaton.edu/academics/departments/mathematics-and-computer-science/computerscience/faculty/,https://www.wheaton.edu/media/registrar/schedule/2023-Fall-Registration-Packet_August042023.pdf
Wheaton College (MA),Norton,MA,055ja0v85,1.0,1.0,https://wheatoncollege.edu/academics/programs/computer-science/,https://departments.wheatoncollege.edu/faculty/,https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Whitman College,Walla Walla,WA,05axv8155,1.0,0.0,https://www.whitman.edu/academics/majors-and-minors/computer-science,https://www.whitman.edu/academics/majors-and-minors/computer-science/faculty-and-staff,https://selfservice.whitman.edu/Student/Courses/Search?subjects=CS
Willamette University,Salem,OR,04g9e0f44,1.0,1.0,https://willamette.edu/academics/college/computer-science/,https://willamette.edu/academics/computing/faculty,https://collslfsrv.willamette.edu/Student/Courses/Search?subjects=CS
Williams College,Williamstown,MA,04avkmd49,1.0,0.0,https://csci.williams.edu/,https://csci.williams.edu/people/faculty/,https://catalog.williams.edu/csci/list/?strm=9999&sbattr=&req_year=26&offered=A
Wittenberg University,Springfield,OH,04a23br85,1.0,1.0,https://www.wittenberg.edu/academics/computerscience/courses-requirements,https://www.wittenberg.edu/academics/computer-science/faculty-staff,https://selfservice.wittenberg.edu/Student/Courses/Search?subjects=COMP
Wofford College,Spartanburg,SC,04dzs7b08,1.0,1.0,https://www.wofford.edu/academics/majors-and-programs/computer-science,https://www.wofford.edu/academics/majors-and-programs/computer-science/faculty-and-staff,https://connect.wofford.edu/myWofford/registrar/courseSchedule.aspx
Massachusetts College of Liberal Arts,North Adams,MA,01ka28180,1.0,0.0,https://mcla.edu/academics/academic-departments/computer-science/,https://mcla.edu/academics/academic-departments/computer-science/,https://banweb.mcla.edu:8443/PRD8/bwzkcsch.P_DispSchedule?term=202560&levl=UD&display_opt=ALL
