name,title,college,verified_affiliation,scholar_match_status,scholar_citedby,scholar_citedby5y,scholar_hindex,scholar_hindex5y,scholar_i10index,scholar_i10index5y,scholar_interests,scholar_cites_per_year
Jane McDougall,Associate Professor,Colorado College,Colorado College,matched,92.0,17.0,5.0,1.0,3.0,1.0,Complex Analysis of One Variable; Harmonic Mappings; Minimal Surfaces; Hypergeometric Functions,"{'2006': 1, '2007': 2, '2008': 1, '2009': 2, '2010': 1, '2011': 7, '2012': 12, '2013': 8, '2014': 5, '2015': 7, '2016': 3, '2017': 5, '2018': 9, '2019': 12, '2020': 7, '2021': 3, '2022': 2, '2023': 2, '2024': 2, '2025': 1}"
Molly Moran,Associate Professor,Colorado College,,no_match,,,,,,,,
Ben Nye,Assistant Professor,Colorado College,Colorado College,matched,695.0,603.0,9.0,8.0,9.0,8.0,,"{'2014': 3, '2015': 3, '2016': 5, '2017': 3, '2018': 5, '2019': 26, '2020': 42, '2021': 93, '2022': 91, '2023': 126, '2024': 139, '2025': 118, '2026': 35}"
Eddie Price,Visiting Assistant Professor,Colorado College,,no_match,,,,,,,,
Flavia Sancier-Barbosa,Associate Professor,Colorado College,"Associate Professor of Mathematics,Colorado College",matched,432.0,385.0,9.0,8.0,8.0,7.0,Stochastic Processes; Applied Statistics / Data Science; Probability; Mathematical Finance; Games,"{'2016': 2, '2017': 1, '2018': 2, '2019': 9, '2020': 28, '2021': 45, '2022': 60, '2023': 67, '2024': 79, '2025': 102, '2026': 27}"
Cory B Scott,Assistant Professor,Colorado College,"Assistant Professor of Computer Science,Colorado College",matched,163.0,151.0,5.0,5.0,4.0,3.0,Geometric Machine Learning,"{'2015': 3, '2016': 1, '2017': 3, '2018': 4, '2019': 16, '2020': 18, '2021': 17, '2022': 38, '2023': 47, '2024': 14}"
Mike Siddoway,Professor,Colorado College,"Colorado College, Colorado Springs, CO, USA",matched_college,,,,,,,,
Ahmed Kamel,Professor,Concordia College,,no_match,,,,,,,,
Damian Lampl,Assistant Professor,Concordia College,,no_match,,,,,,,,
Gregory Tanner,Associate Professor,Concordia College,,no_match,,,,,,,,
Christine Chung,Professor,Connecticut College,"Computer Science Department,Connecticut College",matched,273.0,117.0,10.0,6.0,10.0,2.0,Social Choice; Online and Approximation Algorithms; Matching; Dial-a-Ride; Algorithmic Game Theory,"{'2007': 1, '2008': 2, '2009': 6, '2010': 7, '2011': 5, '2012': 12, '2013': 12, '2014': 12, '2015': 14, '2016': 16, '2017': 10, '2018': 14, '2019': 16, '2020': 29, '2021': 27, '2022': 19, '2023': 25, '2024': 29, '2025': 15, '2026': 2}"
S. James Lee,Associate Professor,Connecticut College,,no_match,,,,,,,,
Timothy Becker,Assistant Professor,Connecticut College,Connecticut College,matched,136.0,103.0,4.0,4.0,3.0,3.0,Computer Science,"{'2018': 3, '2019': 8, '2020': 19, '2021': 20, '2022': 20, '2023': 10, '2024': 16, '2025': 28, '2026': 9}"
Stephen Douglass,Associate Professor,Connecticut College,"Assistant Professor of Biology and Computer Science,Connecticut College",matched,948.0,363.0,10.0,9.0,10.0,9.0,,"{'2010': 6, '2011': 11, '2012': 22, '2013': 28, '2014': 41, '2015': 59, '2016': 58, '2017': 90, '2018': 77, '2019': 105, '2020': 79, '2021': 79, '2022': 86, '2023': 78, '2024': 58, '2025': 45, '2026': 17}"
Ozgur Izmirli,Professor,Connecticut College,,no_match,,,,,,,,
Gary Parker,Professor,Connecticut College,"Professor of Computer Science,Connecticut College",matched,1354.0,414.0,18.0,9.0,42.0,7.0,Computational Intelligence; Robotics,"{'1996': 5, '1997': 5, '1998': 8, '1999': 26, '2000': 14, '2001': 12, '2002': 30, '2003': 38, '2004': 48, '2005': 30, '2006': 56, '2007': 63, '2008': 38, '2009': 47, '2010': 55, '2011': 73, '2012': 64, '2013': 33, '2014': 26, '2015': 48, '2016': 38, '2017': 14, '2018': 36, '2019': 42, '2020': 67, '2021': 75, '2022': 72, '2023': 73, '2024': 71, '2025': 100, '2026': 23}"
William Tarimo,Assistant Professor,Connecticut College,Connecticut College,matched,162.0,63.0,9.0,5.0,9.0,1.0,Educational Technology; Applied Robotics; EEG,"{'2014': 1, '2015': 6, '2016': 16, '2017': 17, '2018': 9, '2019': 23, '2020': 17, '2021': 16, '2022': 12, '2023': 9, '2024': 7, '2025': 16, '2026': 3}"
William Barnes,Adjunct Instructor,Connecticut College,"Complex Carbohydrate Research Center,University of Georgia",matched_name,,,,,,,cell biology; biochemistry; molecular biology,
Thomas Daggett,Adjunct Professor,Connecticut College,,no_match,,,,,,,,
Robert Peitzsch,Adjunct Professor,Connecticut College,,no_match,,,,,,,,
John Schaeffer,Adjunct Instructor,Connecticut College,,no_match,,,,,,,,
Leon Tabak,Professor,Cornell College,,no_match,,,,,,,,
Ajit Chavan,Associate Professor,Cornell College,"Assistant Professor, Cornell College",matched,33.0,17.0,2.0,2.0,1.0,1.0,Distributed storage; thermal aware data placement,"{'2016': 2, '2017': 4, '2018': 7, '2019': 2, '2020': 1, '2021': 6, '2022': 5, '2023': 3, '2024': 1, '2025': 1}"
Lauren Jepsen,Assistant Professor,Cornell College,,no_match,,,,,,,,
Jeff Humphries,Professor,Covenant College,,no_match,,,,,,,,
Zeyu Zhou,Visiting Assistant Professor,Covenant College,"Postdoctoral Research Associate,Princeton University",matched_name,,,,,,,Chemical Dynamics; Electronic Structure,
Raghu Ramanujan,Associate Professor,Davidson College,"Associate Professor of Mathematics and Computer Science,Davidson College",matched,516.0,324.0,11.0,9.0,11.0,9.0,Artificial Intelligence; Machine Learning; Planning; Computer Games,"{'2011': 9, '2012': 33, '2013': 15, '2014': 26, '2015': 11, '2016': 25, '2017': 17, '2018': 16, '2019': 10, '2020': 30, '2021': 38, '2022': 59, '2023': 66, '2024': 79, '2025': 69, '2026': 13}"
Matthew Bachmann,Visiting Assistant Professor,Davidson College,,no_match,,,,,,,,
Heather Blake,Associate Professor,Davidson College,Davidson College,matched,238.0,168.0,10.0,8.0,10.0,8.0,Discrete Mathematcs,"{'2013': 2, '2014': 4, '2015': 7, '2016': 9, '2017': 12, '2018': 28, '2019': 30, '2020': 37, '2021': 28, '2022': 22, '2023': 36, '2024': 15}"
Tim Chartier,Professor,Davidson College,,no_match,,,,,,,,
Angel Chavez,Assistant Professor,Davidson College,Davidson College,matched,61.0,55.0,5.0,5.0,3.0,2.0,Probability; Operator Theory; Symmetric Functions,"{'2014': 2, '2015': 1, '2016': 2, '2017': 1, '2018': 1, '2019': 2, '2020': 13, '2021': 19, '2022': 18, '2023': 2}"
Laurie Heyer,Associate Professor,Davidson College,"Professor of Mathematics and Computer Science,Davidson College",matched_college,,,,,,,Graph Theory; Combinatorics,
Terrence Lim,Assistant Professor,Davidson College,,no_match,,,,,,,,
Hammurabi Mendes,Associate Professor,Davidson College,Davidson College,matched,600.0,357.0,7.0,6.0,6.0,6.0,Distributed Computing,"{'2013': 15, '2014': 8, '2015': 15, '2016': 31, '2017': 21, '2018': 42, '2019': 37, '2020': 69, '2021': 70, '2022': 62, '2023': 66, '2024': 70, '2025': 77, '2026': 12}"
Catherine Nemitz,Assistant Professor,Davidson College,"Professor of Biology,Davidson College",matched_college,,,,,,,Cell Biology; Tobacco Regulatory Science specifically regarding Waterpipe tobacco smoke,
Tabitha Peck,Associate Professor,Davidson College,Davidson College,matched,4681.0,3250.0,24.0,22.0,30.0,29.0,Virtual Reality; Human-Computer Interaction,"{'2009': 20, '2010': 24, '2011': 27, '2012': 35, '2013': 51, '2014': 60, '2015': 71, '2016': 115, '2017': 127, '2018': 197, '2019': 287, '2020': 354, '2021': 457, '2022': 576, '2023': 592, '2024': 666, '2025': 707, '2026': 252}"
Jonad Pulaj,Associate Professor,Davidson College,Associate Professor of Mathematics and Computer Science,manual_approved,207.0,100.0,6.0,6.0,5.0,5.0,Discrete Mathematics; Combinatorial Optimization; Distributed Computing; Operations Research,"{'2015': 5, '2016': 8, '2017': 24, '2018': 28, '2019': 18, '2020': 22, '2021': 13, '2022': 13, '2023': 20, '2024': 20, '2025': 27, '2026': 7}"
Katy Williams,Assistant Professor,Davidson College,"Assistant Professor,Davidson College",matched,127.0,103.0,6.0,6.0,5.0,5.0,data visualization; human-computer interaction; HCI,"{'2019': 3, '2020': 19, '2021': 12, '2022': 18, '2023': 19, '2024': 18, '2025': 28, '2026': 8}"
Ana Wright,Assistant Professor,Davidson College,,no_match,,,,,,,,
Carl Yerger,Professor,Davidson College,"Professor of Mathematics and Computer Science,Davidson College",matched,239.0,79.0,9.0,5.0,9.0,2.0,Graph Theory; Combinatorics,"{'2004': 2, '2005': 9, '2006': 6, '2007': 3, '2008': 5, '2009': 7, '2010': 5, '2011': 7, '2012': 15, '2013': 14, '2014': 14, '2015': 13, '2016': 13, '2017': 5, '2018': 9, '2019': 11, '2020': 9, '2021': 16, '2022': 17, '2023': 18, '2024': 9, '2025': 17, '2026': 2}"
Yan Zhuang,Associate Professor,Davidson College,"Associate Professor of Mathematics and Computer Science,Davidson College",matched,244.0,165.0,7.0,7.0,7.0,5.0,enumerative combinatorics; algebraic combinatorics,"{'2015': 1, '2016': 3, '2017': 5, '2018': 24, '2019': 13, '2020': 33, '2021': 13, '2022': 35, '2023': 26, '2024': 42, '2025': 35, '2026': 13}"
Michael Chavrimootoo,Assistant Professor,Denison University,Denison University,matched,31.0,31.0,3.0,3.0,0.0,0.0,computational complexity; computational social choice; voting,"{'2022': 1, '2023': 9, '2024': 12, '2025': 6, '2026': 3}"
Flannery Currin,Assistant Professor,Denison University,"Assistant Professor of Computer Science,Denison University",matched,155.0,152.0,7.0,7.0,5.0,5.0,human-computer interaction; child-computer interaction; accessibility,"{'2020': 2, '2021': 7, '2022': 13, '2023': 22, '2024': 41, '2025': 55, '2026': 14}"
Mikey Goldweber,Professor,Denison University,,no_match,,,,,,,,
David Kahn,Assistant Professor,Denison University,"Assistant Professor,Denison University",matched,180.0,160.0,6.0,5.0,6.0,5.0,programming languages,"{'2017': 2, '2018': 2, '2019': 6, '2020': 9, '2021': 20, '2022': 10, '2023': 30, '2024': 37, '2025': 49, '2026': 14}"
Matt Kretchmar,Professor,Denison University,,no_match,,,,,,,,
Ashwin Lall,Professor,Denison University,Denison University,matched,1507.0,562.0,19.0,12.0,28.0,16.0,Algorithms; Streaming Algorithms; Databases; Networking,"{'2007': 14, '2008': 27, '2009': 25, '2010': 27, '2011': 60, '2012': 74, '2013': 77, '2014': 74, '2015': 66, '2016': 77, '2017': 90, '2018': 113, '2019': 105, '2020': 101, '2021': 134, '2022': 126, '2023': 94, '2024': 69, '2025': 120, '2026': 19}"
Ali Miller,Instructor,Denison University,University of Otago,matched_name,,,,,,,Biology; Systematics; Marine Invertebrates; Lampreys; Population genetics,
Stacey Truex,Assistant Professor,Denison University,"Assistant Professor,Denison University",matched,7192.0,6548.0,27.0,23.0,27.0,27.0,Data Privacy; Privacy-Preserving Data Mining,"{'2016': 24, '2017': 26, '2018': 46, '2019': 135, '2020': 370, '2021': 687, '2022': 1064, '2023': 1316, '2024': 1509, '2025': 1601, '2026': 371}"
Paul Bible,Assistant Professor,DePauw University,DePauw University,matched,1396.0,826.0,16.0,13.0,21.0,18.0,Bioinformatics; Computational Biology; Machine Learning,"{'2011': 4, '2012': 33, '2013': 57, '2014': 60, '2015': 35, '2016': 57, '2017': 54, '2018': 74, '2019': 74, '2020': 104, '2021': 178, '2022': 149, '2023': 147, '2024': 141, '2025': 166, '2026': 43}"
Chad Byers,Associate Professor,DePauw University,Rice University,matched_name,,,,,,,Materials Science,
Mehmet Gulum,Assistant Professor,DePauw University,Depauw University,matched,235.0,234.0,5.0,5.0,4.0,4.0,Data Mining; Machine Learning; Computer Vision; XAI,"{'2021': 7, '2022': 30, '2023': 55, '2024': 59, '2025': 56, '2026': 24}"
Brian Howard,Associate Professor,DePauw University,"Associate Professor of Computer Science,DePauw University",matched,135.0,28.0,6.0,2.0,5.0,1.0,programming languages; type systems,"{'1991': 2, '1992': 2, '1993': 2, '1994': 9, '1995': 5, '1996': 8, '1997': 2, '1998': 2, '1999': 9, '2000': 2, '2001': 7, '2002': 5, '2003': 5, '2004': 4, '2005': 3, '2006': 3, '2007': 3, '2008': 2, '2009': 3, '2010': 4, '2011': 4, '2012': 3, '2013': 3, '2014': 3, '2015': 1, '2016': 5, '2017': 2, '2018': 1, '2019': 2, '2020': 2, '2021': 1, '2022': 13, '2023': 10}"
Allana Johnson,Instructor,DePauw University,,no_url,,,,,,,,
Khadija Stewart,Professor,DePauw University,,no_match,,,,,,,,
Scott Thede,Professor,DePauw University,,no_url,,,,,,,,
Gloria Townsend,Professor,DePauw University,"Professor of Computer Science,DePauw University",matched,314.0,94.0,9.0,5.0,8.0,2.0,gender issues in computing; evolutionary computation; computer science education,"{'1996': 1, '1997': 2, '1998': 3, '1999': 2, '2000': 3, '2001': 2, '2002': 11, '2003': 7, '2004': 2, '2005': 12, '2006': 5, '2007': 22, '2008': 6, '2009': 4, '2010': 3, '2011': 9, '2012': 3, '2013': 3, '2014': 2, '2015': 8, '2016': 5, '2017': 25, '2018': 20, '2019': 29, '2020': 23, '2021': 22, '2022': 12, '2023': 28, '2024': 16, '2025': 12, '2026': 4}"
Grant Braught,Professor,Dickinson College,Dickinson College,matched_college,,,,,,,Artificial Intelligence; Computer Vision; Distributed Systems; CS Education; Theory of Computation,
Matt Ferland,Assistant Professor,Dickinson College,Dickinson College,matched,97.0,96.0,6.0,6.0,4.0,4.0,Theoretical Computer Science; Computer Science Education,"{'2021': 5, '2022': 5, '2023': 11, '2024': 17, '2025': 31, '2026': 27}"
Dick Forrester,Professor,Dickinson College,,no_match,,,,,,,,
William Goble,Lecturer,Dickinson College,Florida State University,matched_name,,,,,,,Cryptography; Cyber Security; Computer Science,
John MacCormick,Professor,Dickinson College,Dickinson College,matched,5697.0,591.0,32.0,13.0,48.0,18.0,Artificial Intelligence; Computer Vision; Distributed Systems; CS Education; Theory of Computation,"{'2000': 49, '2001': 97, '2002': 124, '2003': 195, '2004': 214, '2005': 299, '2006': 313, '2007': 325, '2008': 371, '2009': 347, '2010': 338, '2011': 319, '2012': 304, '2013': 276, '2014': 240, '2015': 236, '2016': 219, '2017': 209, '2018': 170, '2019': 194, '2020': 173, '2021': 141, '2022': 136, '2023': 118, '2024': 84, '2025': 101, '2026': 11}"
Farhan Siddiqui,Associate Professor,Dickinson College,Dickinson College,matched,1294.0,606.0,15.0,10.0,19.0,10.0,Networking protocols; IoT; Wireless Networks,"{'2004': 4, '2005': 11, '2006': 15, '2007': 31, '2008': 39, '2009': 41, '2010': 53, '2011': 44, '2012': 58, '2013': 61, '2014': 51, '2015': 47, '2016': 56, '2017': 39, '2018': 34, '2019': 35, '2020': 61, '2021': 95, '2022': 92, '2023': 131, '2024': 142, '2025': 118, '2026': 27}"
Barry Burd,Professor,Drew University,University of Wisconsin-Madison,matched_name,,,,,,,Political Science,
Valerie Siyuan Feng,Assistant Professor,Drew University,Drew University,manual_approved,14.0,14.0,2.0,2.0,0.0,0.0,Computer Science; Algorithms; Wireless Communications,"{'2021': 6, '2022': 2, '2023': 4, '2024': 2}"
Chris Gibbs,Adjunct Professor,Drew University,"Associate Professor of Economics,University of Sydney",matched_name,,,,,,,Macroeconomics and Forecasting,
Prasad Kothapalli,Adjunct Professor,Drew University,,no_match,,,,,,,,
Diane Liporace,Assistant Teaching Professor,Drew University,Drew University,matched_college,,,,,,,religion; ecology; climate change; environment,
Yi Lu,Associate Professor,Drew University,"Tsinghua University, PBC School of Finance",matched_name,,,,,,,Chinese Economy; Public Finance; International Economics,
Fred Meyer,Adjunct Professor,Drew University,,no_match,,,,,,,,
Adam Michlin,Assistant Professor,Drew University,,no_match,,,,,,,,
Alex Rudniy,Associate Professor,Drew University,Drew University,matched,312.0,146.0,10.0,7.0,10.0,5.0,Artificial Intelligence; natural language processing and big data analytics,"{'2010': 3, '2011': 1, '2012': 10, '2013': 15, '2014': 15, '2015': 18, '2016': 22, '2017': 22, '2018': 18, '2019': 17, '2020': 13, '2021': 11, '2022': 15, '2023': 24, '2024': 36, '2025': 48, '2026': 12}"
Debanjali Banerjee,Assistant Professor,Earlham College,University of Cincinnati,matched_name,,,,,,,Architecture; Urban Heat Island; Energy; Built Environment; Climate,
Doug Harms,Instructor,Earlham College,"Professor,Earlham CollegeDepartment of Physics, Engineering and Astronomy",matched_college,,,,,,,Biophysics; computational oncology; membrane dynamics,
Charlie Peck,Associate Professor,Earlham College,"Professor, Computer Science and Engineering,Earlham College",matched,432.0,179.0,10.0,6.0,10.0,4.0,High performance computing; bioinformatics; near Earth ground based terrestrial mapping; archeology,"{'1993': 2, '1994': 2, '1995': 5, '1996': 5, '1997': 3, '1998': 6, '1999': 4, '2000': 1, '2001': 4, '2002': 2, '2003': 3, '2004': 3, '2005': 3, '2006': 4, '2007': 2, '2008': 8, '2009': 7, '2010': 7, '2011': 8, '2012': 5, '2013': 17, '2014': 12, '2015': 12, '2016': 11, '2017': 21, '2018': 22, '2019': 26, '2020': 41, '2021': 41, '2022': 35, '2023': 26, '2024': 36, '2025': 29, '2026': 12}"
Fatemeh Valizadeh Gamchi,Assistant Professor,Earlham College,,no_match,,,,,,,,
Yunting Yin,Assistant Professor,Earlham College,Assistant Professor of Computer Science atEastern Michigan University,matched_name,,,,,,,AI for Health; Data Science; Speech Processing; Natural Language Processing,
Injoo Kim,Associate Professor,East-West University,,no_match,,,,,,,,
Julie Zhang,Associate Professor,East-West University,"University of Massachusetts, Lowell",matched_name,,,,,,,Business Intelligence; Data Analytics,
Komal Vashisht,Adjunct Instructor,East-West University,,no_match,,,,,,,,
Fran Casillas,Adjunct Professor,East-West University,,no_match,,,,,,,,
Kelly R. Debure,Professor,Eckerd College,"Associate Professor of Political Science/International Relations and Global Affairs,Eckerd College",matched_college,,,,,,,Comparative politics; ethnic politics; protest and resistance; China,
Michael L Hilton,Associate Professor,Eckerd College,"Professor Emeritus of Management,Eckerd College",matched_college,,,,,,,Grassroots leadership; organizational development; and companion animal public policy,
Holger Mauch,Professor,Eckerd College,"Professor of Sociology,Eckerd College",matched_college,,,,,,,Time and Temporal Experience; Sociology; Social Psychology,
Robert Beasley,Professor,Franklin College,,no_match,,,,,,,,
Kerry Smith,Professor,Franklin College,,no_match,,,,,,,,
Justin D Brody,Assistant Professor,Franklin & Marshall College,Franklin and Marshall College,matched,126.0,61.0,6.0,4.0,5.0,1.0,,"{'2008': 1, '2009': 1, '2010': 2, '2011': 2, '2012': 4, '2013': 5, '2014': 14, '2015': 3, '2016': 16, '2017': 11, '2018': 12, '2019': 16, '2020': 13, '2021': 1, '2022': 14, '2023': 5}"
Jing Hu,Associate Professor,Franklin & Marshall College,"Associate Professor of Computer Science,Franklin & Marshall College",matched,3550.0,2033.0,14.0,11.0,21.0,12.0,bioinformatics; machine learning,"{'2009': 11, '2010': 13, '2011': 16, '2012': 32, '2013': 71, '2014': 94, '2015': 130, '2016': 137, '2017': 158, '2018': 178, '2019': 262, '2020': 351, '2021': 451, '2022': 413, '2023': 333, '2024': 334, '2025': 370, '2026': 131}"
Emily K Jensen,Assistant Professor,Franklin & Marshall College,"Assistant Professor of Computer Science,Franklin & Marshall College",matched,312.0,301.0,8.0,8.0,6.0,6.0,,"{'2020': 8, '2021': 19, '2022': 36, '2023': 49, '2024': 77, '2025': 94, '2026': 26}"
Jacob Logas,Assistant Professor,Franklin & Marshall College,Franklin & Marshall College,matched,85.0,78.0,6.0,6.0,3.0,3.0,privacy; security; human computer interaction,"{'2019': 1, '2020': 6, '2021': 2, '2022': 12, '2023': 10, '2024': 25, '2025': 23, '2026': 5}"
Brad McDanel,Assistant Professor,Franklin & Marshall College,"Assistant Professor of Computer Science,Franklin & Marshall College",matched,3890.0,3097.0,14.0,14.0,18.0,17.0,Machine Learning; Efficient Deep Learning; Dynamic Neural Networks; Computer Architecture,"{'2017': 39, '2018': 108, '2019': 255, '2020': 373, '2021': 463, '2022': 528, '2023': 600, '2024': 550, '2025': 699, '2026': 256}"
Ed Novak,Associate Professor,Franklin & Marshall College,Franklin and Marshall College,matched,1030.0,534.0,13.0,10.0,15.0,11.0,Computer Science Pedagogy Research,"{'2013': 3, '2014': 4, '2015': 7, '2016': 37, '2017': 74, '2018': 105, '2019': 124, '2020': 135, '2021': 112, '2022': 110, '2023': 105, '2024': 88, '2025': 103, '2026': 16}"
Tony J Weaver,Adjunct Senior Instructor,Franklin & Marshall College,,no_url,,,,,,,,
Willie Wilson,Assistant Professor,Franklin & Marshall College,"Associate Professor of Sociology,Franklin & Marshall College",matched_college,,,,,,,,
Andrea Tartaro,Professor,Furman University,,no_match,,,,,,,,
Chris Alvin,Associate Professor,Furman University,Associate Professor of Computer Science,matched_name,,,,,,,Artificial Intelligence,
Rebecca Drucker,Assistant Professor,Furman University,"PhD Candidate,Stony Brook University",matched_name,,,,,,,web performance; internet measurement,
Syed Fahad Sultan,Assistant Professor,Furman University,Furman University,matched,574.0,543.0,5.0,5.0,4.0,3.0,Data Science; Neuroimaging; Machine Learning; ICTD,"{'2020': 24, '2021': 45, '2022': 50, '2023': 109, '2024': 134, '2025': 158, '2026': 41}"
Kevin Treu,Professor,Furman University,,no_match,,,,,,,,
Sunghee Sunny Kim,Professor,Gettysburg College,Dong-eui University,matched_name,,,,,,,human computer interaction; information visualization; behavioral decision making,
Ivaylo Ilinkin,Professor,Gettysburg College,"Professor of Economics,Gettysburg College",matched_college,,,,,,,,
Todd W. Neller,Professor,Gettysburg College,Gettysburg College,matched,680.0,240.0,13.0,7.0,17.0,4.0,artificial intelligence; education; game theory; machine learning,"{'1998': 8, '1999': 6, '2000': 8, '2001': 5, '2002': 9, '2003': 2, '2004': 9, '2005': 21, '2006': 12, '2007': 15, '2008': 6, '2009': 21, '2010': 19, '2011': 22, '2012': 28, '2013': 16, '2014': 13, '2015': 31, '2016': 32, '2017': 51, '2018': 54, '2019': 44, '2020': 48, '2021': 40, '2022': 56, '2023': 52, '2024': 36, '2025': 8}"
Clif Presser,Associate Professor,Gettysburg College,"Associate Professor of Interdisciplinary Studies,Gettysburg College",matched_college,,,,,,,19th through 21st Century Continental Philosophy; Philosophy of Film and Literature; Philosophy of Religion; Philosophy and Popu,
Daniel White,Lecturer,Gettysburg College,"Assistant Professor, Department of Civil and Environmental Engineering,Colorado State University",matched_name,,,,,,,ecohydraulics; aquatic habitat; geomorphology,
Jonathan Hoffman,Adjunct Instructor,Gettysburg College,KTH Royal Institute of Technology,matched_name,,,,,,,scientific computing; applied mathematics; numerical analysis; computational mechanics; fluid mechanics,
Russell C. Bjork,Professor,Gordon College,,no_match,,,,,,,,
Irvin J. Levy,Professor,Gordon College,,no_match,,,,,,,,
Jonathan R. Senning,Professor,Gordon College,,no_url,,,,,,,,
Jill Zimmerman,Professor,Goucher College,,no_match,,,,,,,,
Mohammad Naderi Dehkordi,Associate Professor,Goucher College,Associate Professor of Computer Science atGoucher College,matched,486.0,261.0,11.0,9.0,12.0,9.0,Machine Learning; Data Science; Data Privacy,"{'2009': 4, '2010': 4, '2011': 6, '2012': 1, '2013': 11, '2014': 16, '2015': 17, '2016': 31, '2017': 20, '2018': 33, '2019': 40, '2020': 36, '2021': 52, '2022': 59, '2023': 42, '2024': 61, '2025': 41, '2026': 5}"
Thomas Kelliher,Associate Professor,Goucher College,"Associate Professor,Goucher College",matched_college,,,,,,,Data Science; e-Science; Semantic Web; machine learning,
Robert Lewand,Professor,Goucher College,"Professor Biological Sciences,Goucher College",matched_college,,,,,,,Plant biochemistry and molecular biology,
Peter-Michael Osera,Associate Professor,Grinnell College,Grinnell College,matched,1069.0,651.0,10.0,8.0,10.0,8.0,Programming languages; Computer science education; Human-computing interaction,"{'2008': 5, '2009': 2, '2010': 2, '2011': 4, '2012': 9, '2013': 10, '2014': 11, '2015': 17, '2016': 38, '2017': 67, '2018': 57, '2019': 79, '2020': 107, '2021': 112, '2022': 105, '2023': 151, '2024': 130, '2025': 124, '2026': 28}"
Ali Allami,Associate Professor,Grinnell College,"Digital Humanities and Instruction Librarian,Grinnell College",matched_college,,,,,,,Library and Information Science,
Eric Autry,Assistant Professor,Grinnell College,Grinnell College,matched_college,,,,,,,Economics; Public Finance; Taxation,
Charlie Curtsinger,Associate Professor,Grinnell College,Grinnell College,matched,1657.0,429.0,12.0,9.0,12.0,9.0,Computer Science; Performance; Security; Reliability,"{'2011': 19, '2012': 84, '2013': 102, '2014': 136, '2015': 158, '2016': 154, '2017': 157, '2018': 155, '2019': 137, '2020': 117, '2021': 99, '2022': 79, '2023': 88, '2024': 78, '2025': 69, '2026': 16}"
Nicole Eikmeier,Associate Professor,Grinnell College,Grinnell College,matched,372.0,306.0,10.0,9.0,11.0,8.0,,"{'2017': 3, '2018': 11, '2019': 23, '2020': 27, '2021': 41, '2022': 50, '2023': 39, '2024': 65, '2025': 77, '2026': 31}"
Fernanda Eliott,Assistant Professor,Grinnell College,"Assistant Professor,Grinnell College",matched,39.0,22.0,3.0,2.0,1.0,0.0,Reinforcement Learning; Artificial intelligence; Cognitive Sciences,"{'2015': 3, '2016': 7, '2017': 1, '2018': 6, '2019': 1, '2020': 1, '2021': 7, '2022': 12, '2023': 1}"
Shawn Ong,Assistant Professor,Grinnell College,"Assistant Professor of Computer Science, Grinnell College",matched,6.0,6.0,2.0,2.0,0.0,0.0,Theory of Computation,"{'2024': 1, '2025': 5}"
Samuel A. Rebelsky,Professor,Grinnell College,"Professor of Computer Science,Grinnell College",matched,412.0,150.0,11.0,6.0,12.0,4.0,Computer Science Education,"{'1994': 5, '1995': 2, '1996': 9, '1997': 6, '1998': 30, '1999': 8, '2000': 9, '2001': 9, '2002': 10, '2003': 5, '2004': 2, '2005': 13, '2006': 3, '2007': 5, '2008': 6, '2009': 10, '2010': 10, '2011': 7, '2012': 12, '2013': 7, '2014': 6, '2015': 2, '2016': 6, '2017': 7, '2018': 12, '2019': 27, '2020': 26, '2021': 18, '2022': 29, '2023': 28, '2024': 37, '2025': 32, '2026': 6}"
William Rebelsky,Assistant Professor,Grinnell College,"Professor of Computer Science,Grinnell College",matched_college,,,,,,,Computer Science Education,
Jerod Weinman,Associate Professor,Grinnell College,"Professor of Computer Science,Grinnell College",matched,886.0,190.0,15.0,8.0,19.0,6.0,computer vision; machine learning; computer science education,"{'2005': 10, '2006': 11, '2007': 17, '2008': 19, '2009': 16, '2010': 30, '2011': 48, '2012': 64, '2013': 52, '2014': 73, '2015': 59, '2016': 71, '2017': 59, '2018': 51, '2019': 57, '2020': 53, '2021': 42, '2022': 33, '2023': 33, '2024': 31, '2025': 35, '2026': 16}"
Aaron Nienow,Senior Instructor,Gustavus Adolphus College,,no_url,,,,,,,,
Baili Chen,Associate Professor,Gustavus Adolphus College,,no_url,,,,,,,,
Flint Million,Adjunct Assistant Professor,Gustavus Adolphus College,,no_url,,,,,,,,
Guarionex Salivia,Associate Professor,Gustavus Adolphus College,"Associate Professor,Gustavus Adolphus College",matched,51.0,30.0,4.0,3.0,2.0,1.0,Human Computer Interaction; Assistive Technologies; Game Design; Game Development,"{'2013': 1, '2014': 3, '2015': 2, '2016': 1, '2017': 3, '2018': 1, '2019': 7, '2020': 3, '2021': 4, '2022': 8, '2023': 2, '2024': 7, '2025': 8, '2026': 1}"
Jacob Siehler,Associate Professor,Gustavus Adolphus College,,no_url,,,,,,,,
Jeff Ford,Visiting Assistant Professor,Gustavus Adolphus College,,no_url,,,,,,,,
Jillian Downey,Associate Professor,Gustavus Adolphus College,,no_url,,,,,,,,
