name,title,college,verified_affiliation,scholar_match_status,scholar_citedby,scholar_citedby5y,scholar_hindex,scholar_hindex5y,scholar_i10index,scholar_i10index5y,scholar_interests,scholar_cites_per_year
John E. Rager,Professor,Amherst College,"Computer Science Department,Amherst College",matched_college,,,,,,,,
Matteo Riondato,Associate Professor,Amherst College,"Associate Professor of Computer Science,Amherst College",matched,2225.0,1075.0,22.0,18.0,28.0,26.0,algorithmic data analysis; randomized algorithms; approximation algorithms; data mining,"{'2012': 18, '2013': 35, '2014': 71, '2015': 99, '2016': 105, '2017': 173, '2018': 207, '2019': 212, '2020': 211, '2021': 192, '2022': 213, '2023': 227, '2024': 205, '2025': 172, '2026': 65}"
Lee Spector,Professor,Amherst College,"Professor of Computer Science,Amherst College",matched,10768.0,3560.0,54.0,32.0,144.0,72.0,Artificial Intelligence; Cognitive Science; Artificial Life; Evolutionary Biology,"{'1994': 54, '1995': 87, '1996': 77, '1997': 125, '1998': 149, '1999': 142, '2000': 182, '2001': 159, '2002': 260, '2003': 233, '2004': 288, '2005': 255, '2006': 249, '2007': 289, '2008': 263, '2009': 294, '2010': 228, '2011': 246, '2012': 238, '2013': 257, '2014': 296, '2015': 310, '2016': 338, '2017': 391, '2018': 451, '2019': 542, '2020': 596, '2021': 500, '2022': 685, '2023': 713, '2024': 836, '2025': 642, '2026': 184}"
Shira B. Wein,Assistant Professor,Amherst College,"Assistant Professor of Computer Science,Amherst College",matched,330.0,327.0,13.0,13.0,15.0,15.0,natural language processing; computational semantics,"{'2020': 1, '2021': 12, '2022': 21, '2023': 41, '2024': 72, '2025': 137, '2026': 43}"
Andrew Wu,Assistant Professor,Amherst College,Amherst College; Broadcom,matched,2042.0,1942.0,19.0,19.0,23.0,23.0,Automated Reasoning; Artificial Intelligence,"{'2019': 11, '2020': 82, '2021': 146, '2022': 256, '2023': 320, '2024': 445, '2025': 539, '2026': 234}"
Robert Dickerson,Assistant Professor,Augustana College,Amazon,matched_name,,,,,,,Deep Learning; Recommender Systems; Reinforcement Learning; Multi-armed bandits,
Zhengyi Li,Assistant Professor,Augustana College,"Assistant Professor,Augustana College",matched,167.0,167.0,5.0,5.0,4.0,4.0,Cybersecurity,"{'2021': 3, '2022': 16, '2023': 21, '2024': 56, '2025': 54, '2026': 17}"
Bob Manasco,Instructor,Augustana College,Augustana College,matched_college,,,,,,,Representation theory of finite groups; Undergraduate mathematics education,
Nidhi Mourya,Visiting Instructor,Augustana College,"Assistant Professor of Economics,Augustana College",matched_college,,,,,,,,
Diane C. Mueller,Adjunct Assistant Professor,Augustana College,,no_match,,,,,,,,
Brooke Randazzo,Assistant Professor,Augustana College,Augustana College,matched,27.0,27.0,3.0,3.0,1.0,1.0,Representation theory of finite groups; Undergraduate mathematics education,"{'2023': 4, '2024': 12, '2025': 7, '2026': 4}"
Stacey Rodman,Professor,Augustana College,,no_match,,,,,,,,
Forrest J. Stonedahl,Associate Professor,Augustana College,Associate Professor of Computer Science atAugustana College,matched,1335.0,506.0,14.0,10.0,21.0,11.0,Complex Adaptive Systems; Agent-Based Modeling; Genetic Algorithms; Evolutionary Computing; Artificial Intelligence,"{'2009': 4, '2010': 14, '2011': 30, '2012': 25, '2013': 39, '2014': 76, '2015': 62, '2016': 79, '2017': 88, '2018': 104, '2019': 138, '2020': 148, '2021': 120, '2022': 106, '2023': 88, '2024': 73, '2025': 95, '2026': 24}"
Andrew P. Sward,Associate Professor,Augustana College,,no_match,,,,,,,,
Seema Aarella,Assistant Professor,Austin College,Austin College,matched,119.0,119.0,7.0,7.0,6.0,6.0,Cybersecurity; Machine Learning; Cryptography,"{'2021': 1, '2022': 1, '2023': 13, '2024': 34, '2025': 63, '2026': 7}"
Aaron Block,Associate Professor,Austin College,,no_match,,,,,,,,
Michael Higgs,Professor,Austin College,,no_match,,,,,,,,
Samuel Kroger,Assistant Professor,Austin College,,no_match,,,,,,,,
Kerri-Ann Norton,Associate Professor,Bard College,Bard College,matched,1337.0,720.0,17.0,14.0,25.0,18.0,computational biology; breast cancer; agent-based modeling; image-processing; angiogenesis,"{'2011': 15, '2012': 24, '2013': 13, '2014': 26, '2015': 38, '2016': 62, '2017': 56, '2018': 97, '2019': 124, '2020': 149, '2021': 135, '2022': 138, '2023': 146, '2024': 112, '2025': 131, '2026': 58}"
