college,academic_year,term,course_code,section,course_name,instructor,time,url,category
Washington and Lee University,2023-24,W,CSCI 402A,01,Dir Study: Reverse Engineering Malware,William Tolley,,,Misc
Washington and Lee University,2023-24,W,CSCI 402B,01,Dir Study:Medical Application of Artificial Intelligence,Cody Watson,,,Misc
Washington and Lee University,2023-24,W,CSCI 403B,01,Dir Study: Web Application Testing,Sara Sprenkle,,,Misc
Washington and Lee University,2023-24,W,CSCI 403C,01,Dir Study: SNV Analysis,William Tolley,,,Misc
Washington and Lee University,2023-24,S,CSCI 297E,01,Topic: Ethical Hacking,William Tolley,,,Computer security & privacy
Washington and Lee University,2023-24,S,CSCI 335,01,Software Engineering through Web Applications,Sara Sprenkle,,,Software engineering
Washington and Lee University,2023-24,S,CSCI 339,01,Human-Computer Interaction,Liz Matthews,,,Human-computer interaction
Washington and Lee University,2023-24,S,CSCI 401E,01,Directed Study: Advanced Penetration Testing,William Tolley,,,Misc
Washington and Lee University,2024-25,F,CSCI 111,01,Introduction to Computer Science,William Tolley,,,Core
Washington and Lee University,2024-25,F,CSCI 111,02,Introduction to Computer Science,Taha Khan,,,Core
Washington and Lee University,2024-25,F,CSCI 111,03,Introduction to Computer Science,Kefu Lu,,,Core
Washington and Lee University,2024-25,F,CSCI 112,02,Data Structures,Simon Levy,,,Core
Washington and Lee University,2024-25,F,CSCI 209,01,Software Development,Sara Sprenkle,,,Software engineering
Washington and Lee University,2024-25,F,CSCI 209,02,Software Development,Sara Sprenkle,,,Software engineering
Washington and Lee University,2024-25,F,CSCI 252,01,Neuromorphic Computing,Simon Levy,,,Computer architecture
Washington and Lee University,2024-25,F,CSCI 313,01,Theory of Computation,Kefu Lu,,,Algorithms & complexity
Washington and Lee University,2024-25,F,CSCI 323,01,Computer and Network Security,Taha Khan,,,Computer security & privacy
Washington and Lee University,2024-25,F,CSCI 401F,01,Directed Study: AI Prognostics: RAG-Driven LLMs,William Tolley,,,Misc
Washington and Lee University,2024-25,F,CSCI 402C,01,Directed Individual Study: Linux Systems Design,William Tolley,,,Misc
Washington and Lee University,2024-25,F,CSCI 403D,01,Dir Study: Ancient Graffiti Project,Sara Sprenkle,,,Misc
Washington and Lee University,2024-25,F,CSCI 493,01,Honors Thesis,Taha Khan,,,Misc
Washington and Lee University,2024-25,W,CSCI 111,01,Introduction to Computer Science,William Tolley,,,Core
