college,academic_year,term,course_code,section,course_name,instructor,time,url,category
Bryn Athyn College,2025-26,F,CSci 105,0,Introduction to Computer Systems (QR),Thomas Frazier,"MON 2:45pm-4:00pm, WED 2:45pm-4:00pm, FRI 2:45pm-4:00pm",https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Core
Bryn Athyn College,2025-26,F,CSci 493,0,Senior Literature Review. (IL),Neil Simonetti,THU 10:30 AM - 11:45 AM,https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Misc
Bryn Athyn College,2025-26,F,CSci 499,0,Senior Project,Neil Simonetti,,https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Misc
Bryn Athyn College,2025-26,S,CSci 206,0,Introduction to Data Science,Neil Simonetti,"MON 4:30pm-6:20pm, WED 4:30pm-6:20pm",https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Data science
Bryn Athyn College,2025-26,S,CSci 499,0,Senior Project,Neil Simonetti,TBD,https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Misc
Bryn Athyn College,2026-27,F,CSci 105,0,Introduction to Computer Systems (QR),Thomas Frazier,"Mon 12:45pm-2:00pm,Wed 12:45pm-2:00pm, Fri 12:45pm-2:00pm",https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Core
Bryn Athyn College,2026-27,F,CSci 493,0,Senior Literature Review. (IL),Neil Simonetti,Mon 11:20am-11:50am,https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Misc
Bryn Athyn College,2026-27,S,CSci 160,0,World Wide Web Development (CSci160) (Prerequisite),Neil Simonetti,"Tue 1:15pm-3:00pm,Thu 1:15pm-3:00pm",https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Software engineering
Bryn Athyn College,2026-27,S,CSci 260,0,World Wide Web Languages (CSci260) (Prerequisite) (Corequisite),Neil Simonetti,,https://brynathyn.jenzabarcloud.com/GENSRsC.cfm,Software engineering
